Trait5	Geno2	Trait6	Trait3	Geno1	Trait2	Trait4	Trait1	
-1.7691	2	0.055429	-1.1837	2	1.1172	-0.091192	1.3241
0.23812	2	-0.13588	-0.98943	1	-0.041159	-0.43704	-0.39754
1.4262	1	0.46298	1.327	1	0.15808	1.1741	-0.073642
1.3584	1	1.5511	0.49802	1	-0.96618	-0.037384	0.26987
-0.45407	2	-0.11918	-0.20984	1	-0.84764	0.68704	0.15725
1.3502	1	1.1228	1.7003	1	-0.34181	1.3601	0.19859
0.51265	2	0.059243	-0.61724	1	-1.2675	-1.2719	-1.5483
1.6144	2	-1.6767	-0.4403	2	-0.7614	0.046076	-0.6741
-0.99883	2	-0.76648	0.33667	2	0.97148	-1.1389	-0.11754
0.24789	1	0.4729	1.0484	1	-0.62124	0.34555	-0.08916
1.6957	2	0.014711	-1.3474	1	-0.026706	-1.4606	-1.4336
-0.54533	1	0.88108	1.3793	1	-0.29202	1.3706	-1.1708
-1.7381	1	0.16189	0.96739	1	-0.77438	0.96572	1.2346
-0.844	2	-1.0713	-0.50552	2	1.1809	-0.13536	3.098
-1.8946	1	0.83747	0.55294	1	0.21042	0.78685	-0.41553
-1.2313	1	0.77672	1.7131	1	-0.38666	1.694	-0.79692
-0.7674	2	-1.151	-0.091205	1	0.9644	-0.57897	0.21389
0.72057	2	-0.34897	-0.95934	1	-1.3832	-0.57841	-0.10718
1.2095	2	0.5788	-0.77644	2	0.86817	-0.56945	0.13481
0.09126	1	1.0274	0.59902	1	0.094442	0.30723	1.2562
-1.7398	1	0.67041	0.82202	1	-0.30164	0.94827	-0.94259
-0.66818	1	0.49087	1.2694	1	-0.18615	0.78217	-1.3239
-0.2258	2	-1.4193	-1.44	1	-1.5421	-1.6216	-0.34851
1.4939	2	0.12307	-0.97417	2	-1.9058	-1.6405	-2.6645
0.59683	2	-0.27561	-1.5921	1	-0.012339	-1.033	0.22517
0.32502	1	1.8115	0.59888	1	-0.78178	0.37072	-1.5597
0.33627	2	-0.54037	-0.092937	1	-0.23801	-0.28432	0.25627
-0.71947	2	-0.96292	-0.87226	2	1.0454	-1.1866	-1.1152
0.7723	2	-0.74389	-0.31293	2	0.56738	-1.597	0.21919
1.1117	1	0.22881	0.53378	1	0.28362	0.62928	-0.56731
-0.37072	1	1.1896	1.2033	2	1.7889	1.9867	-1.1364
1.9537	2	-1.2797	-1.1399	1	-0.45995	-1.6282	-0.33873
-1.1043	1	1.0871	2.3039	2	-0.27611	0.615	0.27237
-1.3202	1	0.86019	1.2914	2	0.27461	0.94779	-0.83546
-0.46478	1	1.29	0.43419	1	0.6874	1.6104	-0.36581
-1.1858	2	-1.2069	-0.56475	1	0.18024	-0.54017	0.23717
0.32802	1	0.87458	1.8613	2	0.40544	1.1088	1.7576
1.1735	2	-0.66747	-1.6202	1	0.53589	-0.9149	0.45212
-1.16	1	1.0838	0.61868	2	0.72867	1.3378	0.2647
1.462	2	0.19509	-1.4192	1	0.56635	-0.85302	0.33371
1.0695	1	0.21919	1.322	2	1.3441	1.1727	0.76002
-0.22703	1	1.1363	0.54703	1	-0.48891	1.2236	-0.91644
1.3458	2	-0.6068	-1.7825	1	-0.68775	-0.89217	0.99689
-0.091249	1	0.68469	0.60839	1	-0.6527	0.58896	-0.24017
0.67203	1	0.72395	1.1051	1	-1.4197	0.29802	0.188
0.34537	1	1.2845	1.4258	1	-0.6173	1.0233	-0.24233
-1.0761	2	-1.2815	-0.94371	1	-1.4633	-0.69107	-0.8715
-0.20711	1	1.0174	0.69566	1	-0.58432	0.15352	-0.49345
0.59929	1	1.5069	1.8419	1	-1.4583	-0.031663	0.0055113
-0.11492	1	1.2367	1.2191	1	-0.51421	1.1523	1.884
1.2751	2	-0.52411	-0.64346	2	2.0614	-0.0023541	-0.77991
0.90981	1	1.1284	1.2152	2	2.6756	1.2409	-0.0084945
-1.9542	2	-1.221	-1.4163	2	1.2826	-0.010965	1.0953
1.7193	1	0.30492	1.2836	2	0.61499	0.56464	0.15443
-0.53199	1	0.23732	0.77552	1	-1.2032	-0.66655	0.09844
0.036699	2	-1.0483	-1.779	1	0.3525	-0.60395	0.30022
-0.64389	1	-0.082056	0.48348	1	-0.86546	-0.4081	-0.099303
0.7892	2	0.063117	-0.73251	1	-0.64062	-0.4066	0.12435
-0.92679	2	-1.4966	0.012855	1	0.79099	-0.55856	0.19256
0.75147	1	0.0035339	0.026413	1	-0.50794	0.29651	-0.27764
0.21172	2	-1.3492	-0.47335	1	0.23233	-0.70213	-1.8621
-0.97409	2	-0.629	-0.4728	1	0.091744	-0.086481	-0.49515
-1.0464	2	-1.6692	-0.8497	2	1.5077	0.095689	1.3063
-0.078054	1	1.7703	0.87897	2	1.6091	1.3305	-0.65192
1.6149	2	-0.75709	-0.63085	1	-0.77532	-2.2636	-0.59675
-1.1678	1	0.0899	0.58095	2	-0.22151	0.26068	0.51619
-0.098842	2	-0.30237	-0.04093	1	-1.2385	-0.37569	-1.8217
-0.55001	2	-1.0301	-1.7087	2	2.6454	-1.328	0.34954
1.0482	2	-0.26461	-1.3201	2	1.68	-0.0041651	-0.12113
0.5008	2	-0.85959	-0.66514	1	-1.6141	0.29161	-0.95504
0.309	1	1.0744	1.269	1	-0.96467	1.5905	-1.42
-0.03887	1	1.0667	1.0095	1	-0.089407	0.99929	1.152
-0.50172	2	-0.99479	-0.54327	2	-0.16208	-1.0551	0.47476
-0.094959	1	2.17	1.7212	2	0.51568	0.53768	-1.2639
-0.5209	2	-1.431	-0.70798	1	-0.4217	0.23091	0.57769
0.6976	2	-1.2512	-0.50443	1	0.40922	-1.2722	-0.22881
-0.15737	2	-1.3037	-1.2446	1	-0.25	-1.3128	-0.48267
1.7004	2	-0.093222	0.18072	1	-0.77286	-1.1751	0.70356
-0.34711	2	-0.40996	-0.38877	1	-0.74126	-0.076517	0.71538
0.63301	2	-1.3066	-1.061	1	-0.020245	-0.47474	0.22151
0.45593	1	0.98475	1.1245	1	-1.5284	0.87162	-1.1116
-0.074398	2	0.086143	-0.71909	1	-0.72312	-0.58633	-0.11884
0.5737	1	1.3999	0.41267	1	0.14453	0.30696	0.39177
0.50652	2	-0.76797	-0.93352	1	-0.537	-0.41761	0.072615
-1.6019	2	0.65979	-0.97526	1	0.28122	-0.88937	0.46709
0.74414	1	1.6353	1.382	1	0.099487	1.2686	1.3095
-1.3504	2	-1.1309	-0.53372	2	0.13853	-1.3604	1.3258
-0.32328	2	-1.4115	-0.55521	1	-0.39333	-0.7941	1.0533
-0.74323	1	1.7072	0.49329	1	-0.87786	0.48373	-1.3411
0.8876	2	-1.0691	-0.47533	1	-0.65919	-1.2867	1.3563
-0.26121	1	1.3665	1.3315	2	0.59812	1.5342	-0.51186
-0.52176	1	1.5091	0.71759	1	-0.79433	0.67907	-0.77268
-0.51351	2	-0.99866	-0.96005	2	-0.064251	-0.82275	1.8509
-0.17328	2	0.54034	-1.7709	1	0.38529	-1.362	0.6719
0.15516	1	1.1328	-0.19576	1	-1.135	1.0527	0.29172
0.45546	1	0.45829	1.7196	2	0.62149	2.3385	-2.0495
2.0143	1	1.7214	1.3935	1	-1.973	1.0241	-0.84073
0.017525	2	-1.3151	-0.89644	1	-0.75598	-1.0529	0.10505
-0.041089	2	-0.071698	-0.33496	1	-0.25915	-0.26742	0.55872
-0.072325	1	0.14302	1.099	1	0.45095	0.51954	-1.5618
0.9507	2	-0.99789	-1.1502	1	-0.63471	0.61259	0.50063
-1.8153	2	-0.51697	-0.18793	1	-0.58518	-0.41489	-0.79261
-0.37059	2	-0.18087	-0.77008	2	0.14794	-0.66655	0.62335
-0.24334	2	0.033188	-0.22919	1	-1.8202	-0.18936	-0.69045
-0.83923	2	-0.41353	-1.3264	2	1.8901	-1.3452	0.28566
-1.5292	2	-0.28479	-0.49856	1	0.34714	-1.4144	-0.50451
-1.1641	1	0.77391	1.0241	1	-0.77302	0.27655	-2.6875
2.6624	1	1.7387	1.374	1	0.041422	2.3695	-0.062096
2.3682	1	1.907	0.94637	2	0.8413	0.76571	-1.6393
0.31396	2	-1.292	-0.78457	2	-0.31227	-0.84139	-0.22892
-0.87392	2	0.53494	0.55115	1	-0.15179	-0.83441	1.0812
-1.1022	2	-0.57856	-0.21265	2	1.4486	0.11044	-0.38736
0.42993	2	-1.5502	-0.063309	2	2.2649	-0.59644	2.3365
-1.5011	2	-2.2926	-0.96909	1	-0.40571	-1.1012	0.56007
-1.567	1	0.014611	-0.069863	2	1.3161	0.89287	0.96852
0.26418	1	0.46242	1.94	1	-1.3016	1.1926	-1.5223
-0.77783	1	1.4946	0.92514	1	-1.1651	1.0425	-1.2685
-0.17339	2	-0.86526	-0.090231	1	-0.09102	-1.3706	0.0049574
0.11883	1	0.8622	0.94077	1	-0.76414	1.3308	1.415
0.12005	2	-0.20542	-0.74536	1	-1.2579	-1.2279	-1.2709
-0.79628	2	-0.022269	-0.16145	1	-0.47715	-0.37329	1.1972
0.58969	1	1.0063	1.3356	2	0.79987	1.5464	0.32801
0.11633	1	0.73396	1.1437	2	1.3183	1.0156	-1.9512
-0.88008	2	0.39215	-0.88212	2	0.77879	-0.071244	0.92164
-0.74781	2	-0.31657	-1.2371	1	-1.356	-0.76328	-0.96657
-0.069788	2	0.63495	-0.70214	1	-0.76454	-2.2215	1.7055
0.3897	2	-0.59859	-0.81633	1	-0.04446	0.84047	-0.75073
2.202	1	0.77915	0.03712	2	1.8438	1.1743	0.40331
0.22687	2	-0.40806	-1.0788	1	-0.19213	-0.78118	0.48301
-0.66335	1	1.4808	1.1399	1	-0.033787	0.43484	-0.12095
0.13303	2	-0.66658	-0.14357	1	-1.073	-0.49395	0.70655
-1.5417	1	0.2473	1.2125	2	1.9083	1.2778	3.0844
0.74601	1	-0.35212	0.88616	1	-0.87675	0.60499	-0.21133
-0.80655	2	-1.1068	-1.3459	1	-0.26122	0.15508	-0.0066816
-0.69135	1	1.0994	1.204	2	2.3161	1.0629	1.4256
1.6905	2	-0.14242	-0.55749	2	0.359	0.41916	0.53215
-0.77018	2	-1.5065	-0.53604	1	0.19357	0.059861	1.9152
-2.2055	1	1.058	-0.29035	2	1.0301	0.11952	1.1588
-0.70569	2	-0.73004	-1.6228	2	2.1348	-0.42942	0.97843
1.3633	1	0.65794	0.98061	2	1.3078	0.64345	0.8317
0.093858	2	-1.6142	-0.92049	1	-0.92394	-1.3444	-0.43212
1.6603	2	0.037058	0.81538	1	-0.70654	-0.93759	-0.023641
0.29687	1	0.84923	0.6669	2	0.66467	0.47209	-0.21266
0.30837	2	-0.8147	-1.3296	1	-1.1736	-1.2252	-0.61256
-1.7779	2	-1.1384	-1.0425	1	-0.69411	-0.39049	-0.48379
-0.35135	2	-0.52672	-1.388	2	0.84612	-1.4625	0.071832
0.18294	2	-0.96354	-0.6923	1	-0.91232	-0.9204	0.030227
-0.34302	1	1.8167	0.77427	2	0.036232	0.81699	1.0643
-1.0367	2	-0.55158	-0.84582	2	0.67713	-0.66779	-0.43102
2.6147	2	0.14282	-0.33616	1	-0.83219	-0.17633	-0.13118
-0.59086	2	-1.2139	-0.99552	2	1.9391	-1.1308	0.34126
-0.90208	2	-0.28263	-0.58061	2	0.7467	-0.84617	-0.13398
1.2668	2	-0.56449	-0.1964	1	0.79248	0.19601	0.41777
0.75643	1	-0.011136	0.81301	1	0.34117	0.68247	-1.863
-0.62022	1	0.86997	0.6729	1	-1.1203	0.17657	-1.4244
-0.18946	2	-0.55133	-0.86512	1	-0.83578	-0.40257	-0.029909
-1.5498	1	0.32287	1.184	1	-0.62378	0.80455	0.92806
-0.53493	2	-0.9391	-0.84301	2	1.3501	-0.31379	-0.058019
0.3655	2	-0.74384	-1.3595	1	1.3067	-0.5247	-1.7338
0.82879	2	-1.5915	-1.0102	2	1.0708	-0.6468	0.92568
0.57673	2	-1.4808	-1.0779	1	0.47651	-1.062	0.26133
0.59244	2	-0.8026	-1.7146	1	-0.020034	-1.3898	-1.5705
0.44996	1	0.50751	1.0983	2	2.2137	2.8355	0.34907
-0.75132	2	-0.52338	-0.74591	1	-0.84637	-1.6929	-1.6584
-0.1943	1	1.2265	0.4739	1	-0.78558	0.81272	-0.023241
2.0866	2	-0.19274	0.066839	1	-0.30442	-0.70635	0.85947
-1.3268	2	-1.2952	0.023312	2	1.4432	0.036383	0.8954
-1.4174	2	-0.43139	-0.97617	2	1.9378	0.79311	-0.17648
-0.30469	2	0.072833	-0.069195	2	1.2683	-0.62404	0.25533
