Genotype	Gene1	Gene3	Gene2	Phenotype
2	1.3094	1.2355	1.6025	0.66291
1	-0.84493	-0.85148	-1.0376	-0.35579
1	1.1175	0.62128	-0.097245	1.1169
1	-1.0278	-1.0166	-0.95689	-0.54272
2	2.9534	2.2273	2.234	3.0504
2	0.40693	0.39445	0.74964	0.49728
1	-1.6927	-1.0992	-1.0596	-0.34052
2	-0.87457	-0.87373	-0.044581	-0.87888
1	-0.52145	-0.17361	-1.0992	-0.61197
2	-0.021054	-0.81143	-0.23214	0.019331
2	0.22445	0.4003	0.84559	1.3177
2	1.2821	2.4797	2.3692	3.1041
2	0.53117	-1.2217	0.28611	-0.91875
1	-0.7679	-0.37718	-1.1674	1.1769
2	1.7631	0.69641	1.3615	1.2907
1	-2.051	0.058157	-1.4908	-1.6127
2	1.4271	-0.10351	-0.26543	-1.1031
2	1.6052	1.5874	1.159	2.1284
2	2.6148	0.7304	1.8986	1.8219
2	0.45098	1.2822	1.2151	1.6436
1	-0.47995	-0.67686	-0.50447	-0.81689
2	1.3463	0.099845	0.22575	-0.38467
1	-0.9277	-0.60473	-0.56624	-1.0822
2	0.36281	-0.09599	-0.052173	0.60328
1	-1.196	1.3654	0.15181	1.0298
2	0.73982	-1.4158	-1.1006	-1.9009
1	0.15859	-0.035902	-0.11554	0.031789
2	-1.1222	-0.41972	-0.75665	-0.12297
2	0.74397	0.5198	1.1791	1.4405
2	1.33	0.48739	-0.18437	0.062889
1	-1.7785	-0.40637	-0.97335	-1.7407
2	2.21	1.2506	2.1236	2.544
1	-0.0184	0.2246	0.14729	0.19402
1	-3.2628	-2.9787	-2.8634	-3.6482
2	-0.1392	-0.34778	-0.88344	-0.53681
2	0.076896	-1.8429	-1.7447	-1.2394
2	1.4885	0.19618	1.4064	0.26418
1	-0.38574	1.1131	-0.28387	-0.062115
2	0.55504	0.49115	0.78076	1.4226
1	-1.7518	-1.8202	-1.2481	-2.3751
2	3.6806	1.2174	2.2183	1.4501
1	-2.1189	-1.9377	-1.6646	-3.3068
2	0.40033	0.54181	0.5947	0.58072
1	-1.7397	-0.66287	-0.68746	-0.096024
1	-0.50364	0.40851	0.30851	-0.17237
2	0.44425	0.75742	0.4505	-0.78196
1	-0.95328	-1.4505	0.020384	-0.43303
2	0.46568	-0.028847	0.15037	0.5137
2	1.5549	-0.63541	0.3954	-0.8684
1	-1.4867	0.33942	-0.38445	-0.041492
2	1.7193	0.47366	1.145	0.23226
1	0.080651	0.023382	-0.041247	-0.82666
1	-2.1069	-1.1404	-1.0549	-2.3807
2	3.2157	0.33731	1.2985	0.71006
1	-0.74487	1.14	-0.87596	0.068296
2	0.5656	-0.049493	0.63	0.61696
1	0.92164	-0.4566	0.65674	0.031943
2	0.36798	0.017518	0.38805	0.53672
2	1.0935	0.48676	0.83957	0.81814
2	2.8726	2.7892	2.4059	4.9329
1	-0.30789	0.43253	0.11799	1.095
1	-0.88528	-1.1828	-0.8044	-0.85393
1	-3.1197	-1.5592	-2.1209	-2.309
2	-0.50383	-1.2601	-1.2767	-1.6618
2	1.8793	2.1516	2.1742	2.8387
2	0.53935	0.24623	0.69241	-0.010176
1	-1.348	-0.22259	-0.40572	0.11176
1	-1.576	-0.50134	-1.5699	0.070888
1	-0.80873	-0.59262	-0.25483	-0.97248
2	3.7789	0.59278	2.3224	1.2169
2	2.2607	1.8088	2.2184	2.3414
1	-1.4636	-1.4547	-0.92385	-2.0514
1	0.049658	-1.0861	-0.97609	-1.4805
2	-0.37917	-1.3983	-1.4913	-1.5386
1	-1.038	0.39015	-0.60643	0.29969
2	3.0029	-0.56574	0.93819	0.41397
1	-0.55312	0.33141	0.18418	-0.58313
1	-1.8829	-1.0672	-1.2348	-1.7643
1	-3.2899	-2.6167	-2.6369	-2.7652
2	2.6912	0.86111	1.9481	1.9289
2	0.90592	-0.17146	0.59905	-0.32254
1	-0.015986	0.56296	0.22567	0.50046
1	-1.2915	0.27356	0.014082	0.53515
2	0.86451	0.028483	0.74312	0.032785
2	1.5293	0.45844	1.8271	1.9607
1	-1.7485	-1.0948	-0.81939	-1.3227
2	-0.083073	-1.9435	-1.416	-2.3622
2	3.3754	1.9356	2.3905	3.3874
2	1.0355	-0.51503	-0.61825	-1.0265
1	-1.0565	-0.069375	-0.38404	0.76998
1	-1.1237	-0.99145	-1.4551	-0.3469
2	1.7352	0.22687	0.42981	-0.57465
1	-2.1116	-0.6192	-0.85621	-1.5754
2	0.077448	0.044283	0.22217	-0.46803
2	1.6582	0.25206	0.75089	2.0777
1	1.5023	-1.4421	0.36925	-1.3094
2	1.5735	-0.37483	0.92607	0.66991
2	1.8589	0.96079	1.4626	2.6634
1	-0.69936	-1.3318	-0.19963	-1.0137
1	0.32938	1.7601	1.2466	2.176
1	-0.89472	0.30315	-0.016251	0.51713
2	0.12156	-1.4913	-0.70336	-0.91095
2	0.60273	-0.42001	-0.10023	-0.6748
2	3.5656	1.3951	2.7444	2.8842
1	1.7782	1.4232	0.6032	3.5048
1	-0.57807	0.73551	0.75694	1.037
2	0.21019	-0.39931	0.58809	-0.4973
2	0.93599	1.3913	1.8648	1.7568
2	1.9104	0.80965	0.4027	0.24317
1	0.33224	-0.51752	1.1244	0.48382
1	-0.26037	0.1481	-0.5792	-0.3214
1	-0.87353	-1.3533	-0.43213	-0.42417
2	1.7409	0.56938	0.99576	0.89716
1	-2.5791	-0.079763	-1.7127	-0.63871
2	2.7148	2.0641	2.5514	4.0436
1	-1.4134	-0.19435	-0.15077	0.60547
2	1.7548	0.081749	0.54813	0.96427
1	0.10288	1.8213	0.88012	1.1502
2	1.4314	-0.36776	1.0119	0.72045
2	1.2714	-0.013532	0.88042	-0.065303
1	-1.5945	-0.46271	-1.5631	-1.3127
2	0.95562	0.32816	0.69476	1.2058
2	2.7251	1.0995	1.9791	1.6754
2	3.0741	1.2894	2.0428	2.7797
2	1.1387	0.086177	0.13431	0.15097
2	2.2914	1.4238	1.8326	1.452
2	1.6861	-0.26067	0.085743	0.10703
1	-0.49648	0.8651	0.16132	1.2287
2	2.692	1.6258	2.0722	1.5768
2	0.35736	-0.41045	-0.064344	-1.1639
1	0.56768	0.87048	0.48066	1.3185
1	-1.4305	-0.059767	0.65175	0.20121
1	0.12948	-0.27649	-0.71256	-0.93355
2	1.4175	0.40298	0.62103	0.38596
2	1.9966	0.92929	1.4075	2.4664
1	-2.1459	-1.7047	-1.5666	-1.9704
2	0.63235	-0.31907	0.39015	-0.094609
2	2.2081	1.43	2.3977	3.1491
1	-0.61433	-1.6535	-0.62255	-1.1695
2	-0.054849	-0.22619	-0.15443	0.80091
2	1.4147	0.38626	1.6316	0.47058
1	-0.86504	0.14484	-0.64224	0.0082434
2	3.3653	1.8557	2.0853	3.4931
2	2.2935	1.9842	3.3837	3.9431
1	-0.46349	-1.8676	-0.25935	-1.384
2	1.986	1.1631	1.8748	2.8603
2	0.97497	0.28825	0.24785	1.285
1	-1.5869	0.014074	-0.43179	0.47159
2	1.4753	0.54993	1.3186	0.45672
1	0.032798	0.36038	-0.17131	0.38497
2	-0.44677	-0.80787	0.028976	0.37316
2	1.0972	-0.28951	0.65841	-0.64075
2	-0.76611	0.55213	0.20033	-0.03155
2	0.7553	-0.39724	0.7762	0.84015
1	-1.3907	0.93813	0.87454	1.4003
2	1.6042	-0.32578	0.26563	-0.33416
2	0.0011286	0.33084	1.2848	1.0439
2	1.5178	-0.38575	0.17469	-0.30238
2	1.5933	1.3498	1.2703	1.9845
2	1.1296	0.58348	1.167	1.0504
1	-0.23314	1.082	0.6528	0.81685
2	2.9547	2.4742	2.4752	3.1153
2	0.58213	0.12754	0.025728	-0.058504
2	1.1949	1.817	2.0622	1.4037
2	2.2411	0.8552	1.6038	1.0049
1	-2.5176	-1.0052	-1.0198	-0.48341
1	-1.8805	-1.3895	-1.8934	-2.3298
2	0.026187	-1.0276	0.3109	-0.56926
1	-2.0429	-1.3081	-0.57127	-2.0782
2	1.1618	0.50882	-0.20697	0.013231
1	-0.47612	-0.9931	-1.3226	-0.98672
1	-1.2763	0.41926	-0.14847	0.91577
1	-0.55364	-0.93098	-1.0248	-2.0666
1	-0.4339	-0.25192	-0.73885	0.073947
1	-1.5453	-0.6545	-0.21517	-1.3672
2	2.6639	1.6327	2.0072	2.554
2	0.88943	0.57601	-0.3015	0.74417
2	1.0271	1.2264	1.7475	0.67207
1	-0.83604	0.42271	0.040673	0.80654
1	-1.3054	-0.67361	-0.91976	-2.2619
2	1.077	0.36815	0.93526	1.3126
2	1.9659	-0.1728	0.32075	0.54531
2	3.4634	1.8385	2.4279	3.2285
1	-1.4032	-1.4314	-0.89679	-1.154
2	1.9036	0.38846	0.05761	1.0422
1	-0.68719	0.80821	-0.15658	-0.62623
1	-2.092	-1.302	-1.3887	-2.2708
1	-3.0231	-1.2392	-1.4976	-1.3607
1	-1.7643	-0.3896	-0.42846	-0.75791
2	1.5574	1.5723	1.0907	2.0144
2	1.9495	0.8587	1.1411	1.1627
2	0.64003	-0.77478	-0.39283	-0.0099916
2	1.3391	0.1672	0.63395	0.41181
2	0.41884	-0.14637	0.26969	0.82956
2	0.80367	0.14447	-0.10291	-0.287
1	-0.63094	0.18687	-0.27602	0.27575
2	3.0052	1.2428	1.5281	1.2243
1	-1.208	-0.052875	-0.25162	-0.60352
2	-0.013434	0.6821	0.21045	1.2654
1	0.066436	0.26358	0.068284	0.22081
2	0.74043	-0.62892	-0.053397	0.047075
2	0.01624	-0.78913	-0.2106	-1.804
1	-0.92733	0.22995	-0.80286	1.3801
1	-2.7373	-1.9684	-1.1444	-1.8
2	0.4016	-0.5569	-0.61626	-0.86638
2	1.3313	0.1115	1.0784	-0.3657
1	-1.5426	-0.64278	-0.82557	-0.24553
2	-0.17113	0.20989	0.049778	0.14976
2	1.1498	0.93007	1.927	1.9457
1	0.44309	0.26164	0.15551	-0.033813
2	2.4557	0.73092	1.0348	0.74128
2	1.2194	-0.35204	0.606	-0.43078
1	0.31738	-0.16719	0.40172	0.76466
2	0.8312	0.97519	1.447	1.6576
1	0.68482	-0.47105	-0.44196	-1.6032
2	0.86476	-0.60894	-0.70426	-0.46443
2	0.61242	-0.19328	0.33885	0.7601
2	0.81747	0.12697	0.76843	0.73746
1	-0.6702	0.031673	-0.68398	-0.5238
1	-0.63522	-0.93868	0.50393	0.10229
1	-2.5259	-1.0264	-1.1855	-1.9957
2	0.77302	-0.5916	0.44419	0.014831
1	-0.62945	1.0176	0.82793	0.63908
1	-0.86403	0.76611	0.14394	0.43542
2	0.50604	0.58551	0.21427	1.0034
2	-0.40606	-0.34577	-0.40185	-0.61186
1	-3.1861	-0.77597	-1.1617	-1.8329
2	0.34588	0.068959	0.30321	0.76889
1	-0.94907	-1.2576	-1.5157	-1.1779
1	-0.53314	-0.83648	0.090435	0.56704
2	2.255	0.88421	1.707	2.6335
2	0.8637	0.55861	0.94463	0.9639
1	-2.7845	-0.18064	-1.0746	0.99446
1	-0.24873	0.76049	0.26843	1.5167
2	0.11146	0.35634	-0.24447	-0.97159
2	3.2303	1.7377	2.5182	2.4327
1	-1.0498	-1.624	-1.42	-3.435
1	-1.1608	-1.2389	-1.8164	-1.726
1	-2.9043	1.0074	-1.0969	-0.0682
2	1.1324	0.21432	0.54189	0.15421
2	3.8317	1.5187	2.458	2.1317
2	2.0655	1.5893	1.9248	3.0454
1	-0.44455	0.35221	1.6454	1.8029
1	-1.3991	-0.54894	0.55414	0.35949
2	-0.49564	-1.1614	-0.48362	-0.73735
2	0.3003	1.1159	1.0502	1.0648
2	2.1461	0.96161	2.1506	1.531
1	-1.1484	-1.2411	-1.0381	-1.1269
1	-0.70906	0.11049	-0.27275	-0.55964
2	2.2877	2.2862	2.1313	2.6027
1	-1.8594	-0.64184	-1.1552	-0.63442
2	1.9532	1.9075	1.8567	3.8481
1	0.37771	-0.63126	-0.85427	-0.53335
2	0.98581	0.59491	1.4425	1.9929
1	-0.25628	1.5669	0.7286	2.3314
1	-1.9161	-2.1064	-1.9792	-3.209
2	1.4204	0.62872	0.51499	0.21648
1	-1.3459	-0.51532	-0.93122	-0.72578
1	-0.054858	0.041397	-0.61347	-0.034157
1	-1.4906	-0.72287	-1.1269	-1.7365
1	-0.088146	-1.8362	-0.24614	-1.2446
2	0.77185	0.97014	1.3422	1.5292
1	-2.5133	-1.8502	-1.2924	-1.9175
2	0.26583	0.77748	0.89065	1.1444
1	0.16672	-0.15405	0.089319	0.59477
2	1.6727	1.3054	2.3544	3.2492
2	2.0506	0.92409	1.3741	0.79866
2	0.67307	-0.69943	-0.67926	-1.8186
1	-1.7004	-3.2806	-1.8577	-3.5456
2	2.328	0.74119	1.0011	-0.11293
2	1.2604	0.73779	1.6924	1.7521
1	-2.2288	-1.3683	-1.7765	-1.5974
2	0.88269	0.46839	-0.27199	-0.1524
1	-1.9886	-0.73595	-1.4506	-1.408
2	-1.4869	-0.2289	-0.5663	-2.0807
2	0.014777	-1.0052	0.16268	-0.48156
1	-1.0203	-0.10211	0.087625	-1.1098
2	0.19942	-0.090896	-0.057038	-0.69817
2	0.049687	-0.42191	0.14803	-0.32168
2	1.1233	0.84872	0.59768	1.9205
1	-0.029631	0.029696	-1.4186	-0.39548
2	1.6432	2.0013	1.9999	3.0139
2	0.15109	1.1324	0.89689	-0.1229
2	3.4367	0.93618	2.4521	1.7229
1	-1.9473	-1.0037	-1.435	-2.2126
2	-1.9611	-2.2472	-1.296	-2.3762
2	1.4403	0.62477	1.5212	1.2814
2	0.19632	0.17619	0.488	0.38575
1	-0.45147	0.79693	0.15328	-0.26972
2	2.1905	1.3618	1.6805	1.2152
2	2.5707	-0.36075	1.0698	0.38569
1	-1.134	-0.55325	-0.17572	-1.0232
2	0.23258	0.9795	1.3777	0.26495
1	-1.9011	-0.92872	-1.2233	-2.1998
1	-0.57857	0.47029	-0.06201	-0.34515
1	-1.949	-2.6597	-1.5144	-3.0038
2	0.76334	-0.064474	-0.25394	-0.34794
2	0.060827	0.52259	0.76325	0.93484
1	-0.88464	0.89037	0.68007	0.50459
2	0.75303	1.0031	1.3853	1.7313
2	1.6174	0.6954	1.3692	0.19298
2	-0.25913	-0.14026	1.1774	0.39386
2	-0.36996	-1.7796	-1.2709	-2.5775
2	1.1327	0.41557	1.9905	1.839
1	-0.62597	0.53878	-0.71974	-0.65395
2	1.2265	0.22326	1.3888	0.17221
1	-3.6161	-0.12667	-1.1336	-0.67
2	1.7509	1.0183	1.5883	2.2784
1	-3.1148	-2.0415	-2.2483	-2.8307
2	2.164	-1.1513	-0.08575	-0.62876
1	0.039445	0.1961	0.075096	1.9551
2	1.8371	-0.96925	0.12921	-1.2741
1	0.55236	0.34137	0.086468	1.4716
1	-0.7032	-0.20756	-0.74846	0.65256
2	1.0002	1.1736	1.0214	1.258
2	1.2194	0.48081	1.3275	0.54443
2	0.90395	-0.45146	0.38298	0.64902
1	-1.7689	0.75519	-1.0627	-0.35778
1	-0.66361	-1.4308	-1.0998	-1.0094
1	0.59444	-0.097019	0.18029	-9.04E-07
2	0.98727	1.3769	2.4872	3.2855
2	3.119	0.79201	0.76361	0.88459
2	3.966	2.5125	2.4776	4.6119
1	-0.42323	0.57129	-0.93689	-0.20516
1	-0.99354	-0.91517	-0.25445	-1.3515
1	-0.8997	0.17456	-0.98904	-0.49643
1	-2.0882	-2.2724	-1.6869	-3.8034
2	0.058963	-1.8188	-0.57721	-2.4386
2	0.6644	-0.19227	0.038901	-0.85065
1	-1.4081	-1.5517	-0.57182	-0.9874
2	0.6261	-0.47999	0.49667	0.27351
2	2.0659	0.45041	0.48469	0.55808
1	-1.2712	-1.1302	-1.255	-2.7206
1	-1.0078	-0.60672	-1.1008	-2.6889
1	-1.0463	-1.0508	-0.99612	-1.555
2	1.7391	0.14434	0.97791	1.2498
2	1.8919	0.21333	1.6686	1.219
2	-0.10481	-0.35461	-0.64694	-1.3312
1	-1.6584	-2.0611	-2.1245	-3.6067
2	0.45667	-0.3534	0.45962	-0.39991
1	-1.3292	-0.37564	-0.63085	-1.2641
1	-0.17139	0.30023	-0.20283	0.041852
2	1.0493	0.25089	1.0204	1.8084
1	-0.84288	-0.44041	-1.1143	-0.59224
2	0.88897	-0.11392	0.5681	-0.054604
1	-1.9512	0.41829	-1.042	-0.0042274
2	3.1253	1.4863	2.9227	3.0012
1	-0.92268	-0.60588	-1.1196	-1.4647
1	-0.35425	-0.10497	-0.74629	-1.8353
1	-1.4657	-1.2499	-0.83335	-2.4047
1	-1.0475	-0.51414	-1.4602	-0.54649
1	-0.59471	0.56956	0.79545	0.86494
1	-2.2114	-0.64964	-0.78543	-1.9412
2	1.3807	1.0044	0.56431	1.2968
1	-1.7252	-1.1924	-0.69401	-0.72828
2	1.4303	0.15739	1.0449	0.3742
2	1.5814	0.49582	1.4353	1.1652
