Starts	Dist	SpkQual	MFuse	Alter	Starter	StMotor	BatAge	Charging	PlugVolt	BatVolt	Timing	Cranks	Plugs	AirFilter	Air	Fuel	GasTank	GasFilter
2	1	2	1	1	1	1	1.23631	1	3	1	1	2	3	1	1	1	1	1
2	1	2	1	1	1	1	0.728145	1	1	1	1	2	3	1	1	1	1	1
2	1	2	1	1	2	1	4.66434	2	3	3	1	2	3	2	2	1	1	1
2	1	2	1	1	1	1	3.56254	2	3	3	1	1	2	1	1	2	2	1
2	1	2	1	1	2	1	2.63999	2	3	3	1	2	3	1	2	2	2	1
2	1	2	1	1	2	1	0.715897	2	3	3	1	2	2	1	1	1	1	1
2	1	2	1	1	2	1	1.85198	2	3	3	1	2	2	1	1	2	2	1
2	1	1	1	1	1	1	3.63826	1	1	1	1	1	1	2	2	2	1	1
2	1	2	1	1	1	1	7.73862	2	3	3	1	1	3	1	1	2	2	1
2	1	2	1	1	2	1	10.1699	2	3	3	1	2	1	1	1	1	1	1
2	1	1	1	1	2	2	2.97722	1	1	1	1	2	1	1	1	1	1	1
2	1	2	1	1	1	1	4.50117	2	2	2	1	1	3	1	1	1	1	1
2	1	2	1	1	1	1	0.640869	2	2	2	1	2	1	1	1	1	1	1
2	1	2	1	1	1	1	1.72775	1	3	1	1	2	1	1	1	1	1	1
2	1	2	1	1	2	1	5.46047	2	3	3	1	2	3	1	1	1	1	1
2	1	2	1	1	1	1	2.21929	1	2	2	1	2	2	1	1	2	1	1
1	1	1	1	1	1	1	0.438026	1	1	1	1	1	1	1	1	1	1	1
1	1	1	1	1	1	1	0.0684539	1	1	1	1	1	1	1	1	1	1	1
2	1	2	1	1	2	1	4.15012	2	3	3	1	2	2	1	1	1	1	1
2	1	2	1	1	2	1	0.161533	2	3	3	1	2	1	1	1	1	1	1
2	1	2	1	1	2	1	1.11862	2	3	3	1	2	2	1	1	2	1	2
2	1	1	1	1	1	1	0.410719	1	1	1	1	2	1	1	1	2	1	1
2	1	2	1	1	2	1	0.0322208	2	3	3	1	2	1	1	1	2	2	1
1	1	1	1	1	1	1	3.37212	1	1	1	1	1	1	1	1	1	1	1
1	1	1	1	1	1	1	2.78532	1	1	1	1	1	1	1	1	1	1	1
1	1	1	1	1	1	1	1.40432	1	1	1	1	1	1	2	1	1	1	1
2	1	2	1	1	2	1	3.22403	2	3	3	1	1	3	1	1	2	1	1
2	1	2	1	1	2	1	1.7234	2	3	3	1	2	1	1	2	1	1	1
2	1	2	1	1	2	1	0.674939	2	3	3	1	2	1	1	1	1	1	1
1	1	1	1	1	1	1	6.9812	1	1	1	1	1	1	1	1	1	1	1
1	1	1	1	1	1	1	1.82705	1	1	1	1	1	1	1	1	1	1	1
2	1	2	1	1	2	1	0.935587	2	3	3	1	2	1	1	1	1	1	1
2	1	2	1	1	1	1	0.992564	1	1	1	1	1	3	1	1	1	1	1
2	1	2	1	1	2	1	3.47892	1	2	2	1	2	1	1	1	1	1	1
2	1	2	1	1	1	1	6.52634	1	2	2	1	2	1	1	1	1	1	1
2	1	2	1	1	1	1	3.68841	1	1	1	1	1	3	1	1	2	2	1
1	1	2	1	1	1	1	0.50506	2	2	2	1	1	1	1	1	1	1	1
2	1	2	1	1	1	1	4.33453	1	2	2	1	2	3	1	1	2	1	1
2	1	2	1	1	1	1	3.39695	2	2	2	2	2	1	1	1	1	1	1
2	1	2	1	1	1	1	0.482289	1	2	1	1	2	2	1	1	1	1	1
2	1	2	1	1	2	1	0.385094	2	3	3	1	2	1	1	1	1	1	1
1	1	1	1	1	1	1	3.92753	1	1	1	1	1	1	1	1	1	1	1
2	1	2	1	1	2	1	9.63027	2	3	3	1	2	1	1	1	2	2	1
1	1	1	1	1	1	1	1.77681	1	1	1	1	1	1	1	1	1	1	1
2	1	2	1	1	1	1	15.8749	2	2	2	1	1	1	2	2	1	1	1
1	1	1	1	1	1	1	0.863939	1	1	1	1	1	1	1	1	1	1	1
2	1	2	1	1	1	1	3.5007	2	3	2	1	1	1	1	1	1	1	1
1	1	1	1	1	1	1	1.46447	1	1	1	2	1	1	2	2	1	1	1
2	1	2	1	1	1	1	4.00622	2	2	2	1	1	3	1	1	2	1	1
1	1	2	1	1	1	1	2.62894	1	1	1	1	1	2	1	1	1	1	1
1	1	1	1	1	1	1	0.772251	1	1	1	1	1	1	1	1	1	1	1
1	1	1	1	1	1	1	0.254104	1	1	1	1	1	1	1	2	1	1	1
2	1	2	1	1	1	1	1.35669	1	1	1	1	1	3	1	1	2	2	1
1	1	1	1	1	1	1	0.408515	1	1	1	1	1	1	1	1	1	1	1
2	1	2	1	1	2	1	4.73523	2	3	3	1	2	3	1	1	1	1	1
2	1	2	1	1	2	1	4.84404	2	3	3	1	2	1	1	1	1	1	1
2	2	2	1	1	2	1	3.08909	2	3	3	2	2	1	1	1	2	2	1
2	1	1	1	1	1	1	0.500373	1	1	1	2	1	1	1	2	1	1	1
1	1	2	1	1	1	1	1.42352	1	1	1	1	1	3	2	1	1	1	1
2	1	2	1	1	2	1	3.19283	2	2	2	1	2	1	1	1	1	1	1
2	1	2	1	1	2	1	2.65803	2	3	3	1	2	1	1	1	2	1	2
1	1	1	1	1	1	1	4.35117	1	1	1	1	1	1	1	1	1	1	1
2	1	1	1	1	1	1	0.448913	1	1	1	1	1	1	1	1	2	2	1
2	1	2	1	1	2	1	4.59592	2	3	3	1	2	1	1	1	1	1	1
2	1	2	1	1	1	1	4.68035	1	1	1	1	1	3	2	2	2	2	1
2	1	2	1	1	1	1	6.86362	2	3	3	1	2	1	1	1	1	1	1
1	1	1	1	1	1	1	1.88662	1	1	1	1	1	1	1	2	1	1	1
2	1	2	1	1	1	1	6.67913	2	3	3	1	2	3	1	1	1	1	1
2	1	2	1	1	1	1	1.72634	1	2	1	1	2	1	1	1	1	1	1
2	1	1	1	1	1	1	1.01307	1	1	1	1	2	1	1	1	1	1	1
2	1	2	1	1	2	1	1.1309	2	3	3	1	2	1	1	1	1	1	1
2	1	2	1	1	1	1	2.38128	2	2	2	1	1	1	1	1	2	1	1
2	1	2	1	1	2	1	2.01195	1	3	3	1	2	3	1	1	1	1	1
2	1	2	1	1	1	1	4.91973	2	3	3	1	1	2	1	1	2	1	1
2	1	1	1	1	1	1	3.45795	1	1	1	2	2	1	1	1	1	1	1
1	1	1	1	1	1	1	1.66261	1	1	1	2	1	1	1	1	1	1	1
2	1	2	1	1	2	1	12.2823	1	3	3	1	1	1	1	1	2	1	1
2	1	2	1	1	2	1	4.98365	2	3	3	1	2	2	1	1	1	1	1
2	1	2	1	1	1	1	2.28812	1	1	1	1	1	2	1	1	2	2	1
2	1	2	1	1	1	1	1.98491	2	2	2	2	1	3	1	1	2	1	1
1	1	1	1	1	1	1	0.441825	1	1	1	1	1	1	1	1	1	1	1
2	1	2	1	1	1	1	6.80856	2	3	3	1	2	1	1	1	1	1	1
2	1	2	1	1	1	1	1.14798	1	3	1	2	1	1	2	1	1	1	1
2	1	2	1	1	2	1	3.47334	2	3	3	1	2	2	1	1	1	1	1
2	1	2	1	1	2	1	4.29814	1	3	3	1	1	1	1	1	2	1	1
1	1	2	1	1	1	1	2.14065	1	1	1	1	1	3	1	1	1	1	1
2	1	1	1	1	1	1	1.96168	1	1	1	1	2	1	1	1	1	1	1
2	1	2	1	1	2	1	3.7237	2	3	3	1	2	3	1	2	1	1	1
1	1	1	1	1	1	1	1.11832	1	1	1	2	1	1	1	1	1	1	1
2	1	2	1	1	2	1	4.56047	2	3	3	1	2	1	1	1	1	1	1
2	1	2	1	1	1	1	0.452531	1	1	1	1	1	3	1	1	1	1	1
2	1	2	1	1	2	1	4.76471	2	3	3	2	2	1	1	1	1	1	1
1	1	2	1	1	1	1	3.72712	1	1	1	1	1	3	1	1	1	1	1
2	1	2	1	1	2	1	1.60393	2	3	3	1	2	3	1	1	1	1	1
2	1	2	1	1	1	1	2.22538	1	1	1	1	1	3	1	1	2	2	1
1	1	1	1	1	1	1	0.778349	1	1	1	1	1	1	1	2	1	1	1
2	1	2	1	1	1	1	0.136355	2	3	3	1	1	1	1	1	1	1	1
2	1	2	1	1	1	1	0.559837	2	2	2	1	2	1	1	2	1	1	1
2	1	2	1	1	2	2	1.5521	2	3	3	2	2	1	1	1	2	2	2
1	1	1	1	1	1	1	1.1683	1	1	1	1	1	1	1	2	1	1	1
2	1	2	1	1	2	1	3.20792	2	3	3	1	2	1	1	1	1	1	1
2	1	2	1	1	1	1	0.0294523	2	2	2	1	1	3	1	1	2	2	1
2	1	1	1	1	1	1	1.51016	1	1	1	1	2	1	1	1	2	1	1
2	1	2	1	1	1	1	1.46157	2	2	2	1	1	1	1	1	2	2	1
2	1	2	1	1	1	1	7.31961	2	3	3	1	1	3	1	1	1	1	1
2	1	2	1	1	1	1	2.25565	1	2	2	1	1	1	1	1	2	2	1
2	1	2	1	1	1	1	0.332537	1	3	1	1	1	1	1	1	1	1	1
2	1	2	1	1	2	1	1.16328	2	3	3	1	2	1	2	2	2	2	1
1	1	2	1	1	1	1	4.18322	1	1	1	1	1	3	1	1	1	1	1
2	1	2	1	1	2	1	8.04276	2	3	3	1	2	1	1	1	1	1	1
1	1	1	1	1	1	1	4.12436	1	1	1	1	1	1	1	1	1	1	1
1	1	1	1	1	1	1	1.66478	1	1	1	1	1	1	1	1	1	1	1
1	1	2	1	1	1	1	6.44237	1	1	1	1	1	3	1	1	1	1	1
2	1	2	1	1	2	1	3.30168	2	3	3	1	1	2	2	2	1	1	1
1	1	1	1	1	1	1	2.57221	1	1	1	1	1	1	1	1	1	1	1
2	1	1	1	1	1	1	1.5302	1	1	1	1	2	1	1	1	1	1	1
2	1	2	1	1	1	1	2.23714	2	3	3	1	1	1	1	2	2	2	1
2	1	2	1	1	2	1	8.72277	2	3	3	1	2	1	1	1	1	1	1
1	1	2	1	1	1	1	5.18702	1	1	1	1	1	2	1	1	1	1	1
2	1	2	1	1	2	1	4.1361	1	3	3	1	2	3	1	1	1	1	1
2	1	2	1	1	1	1	4.03663	2	2	2	1	1	3	1	1	1	1	1
2	1	2	1	1	2	1	2.09322	2	3	3	1	2	3	1	1	1	1	1
2	1	2	1	1	2	1	1.87756	2	3	3	2	2	1	1	1	2	1	1
2	1	2	1	1	2	1	14.1937	2	3	3	1	2	1	1	1	1	1	1
2	1	2	1	1	1	1	3.41049	1	1	1	1	1	3	1	1	2	2	1
1	1	1	1	1	1	1	2.93445	1	1	1	1	1	1	1	1	1	1	1
2	1	2	1	1	1	1	10.5414	1	2	2	1	1	1	1	2	1	1	1
2	1	2	1	1	2	1	4.09177	2	3	3	1	2	1	1	1	1	1	1
1	1	1	1	1	1	1	2.39508	1	1	1	1	1	1	1	2	1	1	1
2	1	2	1	1	2	1	3.50173	2	3	3	1	2	3	1	1	1	1	1
2	1	2	1	1	1	1	6.21675	1	3	2	1	1	1	1	1	1	1	1
2	1	2	1	1	1	1	0.703114	1	2	2	2	2	1	1	1	2	1	1
2	1	2	1	1	1	1	0.894215	2	3	2	1	1	3	1	2	1	1	1
2	1	2	1	1	1	1	1.0471	1	2	2	1	1	3	1	1	1	1	1
1	1	1	1	1	1	1	1.31589	1	1	1	1	1	1	1	1	1	1	1
2	1	2	1	1	1	1	4.68824	1	2	1	1	2	1	1	1	2	2	2
2	1	2	1	1	2	1	5.48787	2	3	3	1	2	1	1	1	1	1	1
1	1	2	1	1	1	1	3.34192	1	1	1	2	1	3	1	1	1	1	1
2	1	2	1	1	2	1	9.5016	2	3	3	1	2	1	1	1	2	1	2
2	1	2	1	1	2	1	6.07059	2	3	3	1	2	1	1	1	1	1	1
1	1	1	1	1	1	1	19.5523	1	1	1	1	1	1	1	1	1	1	1
2	1	2	1	1	2	1	4.31889	2	3	3	2	2	1	1	1	1	1	1
2	1	2	1	1	1	1	1.87967	1	1	1	1	2	3	1	1	1	1	1
2	1	2	1	1	2	1	2.77823	2	3	3	1	2	1	1	1	1	1	1
1	1	2	1	1	1	1	3.5956	1	1	1	1	1	3	1	1	1	1	1
2	1	1	1	1	1	1	1.31325	1	1	1	1	2	1	1	1	1	1	1
2	1	2	1	1	1	1	1.75989	2	2	2	1	2	1	1	1	1	1	1
1	1	1	1	1	1	1	0.621366	1	1	1	1	1	1	1	2	1	1	1
2	1	2	1	1	1	1	3.14788	2	2	2	1	1	1	1	1	2	1	1
2	1	2	1	1	2	1	2.41881	2	3	3	1	2	3	1	1	1	1	1
2	1	2	1	1	2	1	4.3647	2	3	3	1	2	3	1	1	2	1	1
2	1	2	1	1	1	1	0.227306	2	2	2	1	1	3	1	1	1	1	1
2	1	2	1	1	2	1	0.0613263	2	3	3	1	2	1	1	1	1	1	1
2	1	2	1	1	2	1	13.2932	2	3	3	1	2	1	1	1	1	1	1
2	1	2	1	1	1	1	1.64929	1	1	1	1	2	3	1	1	1	1	1
2	1	2	1	1	2	1	7.26046	2	3	3	1	2	1	1	1	2	1	1
1	1	2	1	1	1	1	0.198224	1	1	1	1	1	3	1	1	1	1	1
2	1	2	1	1	2	1	6.24718	2	3	3	1	2	2	1	1	2	1	1
1	1	1	1	1	1	1	0.818786	1	1	1	1	1	1	1	1	1	1	1
2	1	2	1	1	2	1	0.367484	2	3	3	2	2	1	2	2	1	1	1
2	1	2	1	1	1	1	3.24863	1	3	1	1	1	1	1	1	1	1	1
1	1	1	1	1	1	1	3.67769	1	1	1	1	1	1	1	1	1	1	1
2	1	2	1	1	1	1	0.659442	1	3	1	1	1	3	1	1	1	1	1
2	1	2	1	1	2	1	3.40058	2	3	3	1	2	1	1	1	1	1	1
2	1	1	1	1	1	1	2.95923	1	1	1	2	2	1	1	1	1	1	1
2	1	2	1	1	1	1	4.80303	1	1	1	1	2	2	1	1	2	1	1
1	1	1	1	1	1	1	4.64104	1	1	1	1	1	1	1	1	1	1	1
2	1	2	1	1	2	1	6.81146	1	3	3	1	2	2	1	1	1	1	1
1	1	1	1	1	1	1	1.74035	1	1	1	1	1	1	1	1	1	1	1
2	1	2	1	1	1	1	3.33846	2	2	2	1	2	1	1	2	1	1	1
2	1	2	1	1	1	1	10.5625	1	2	2	1	1	3	1	2	1	1	1
2	1	2	1	1	1	1	1.75197	2	2	2	2	2	3	1	1	1	1	1
2	1	2	1	1	1	1	2.57664	1	2	2	1	1	2	2	2	2	1	1
1	1	2	1	1	1	1	1.31431	1	1	1	1	1	3	1	1	1	1	1
2	1	2	1	1	1	1	0.703583	1	2	1	1	1	1	1	1	2	2	1
2	1	2	1	1	2	1	4.1339	2	3	3	1	2	3	1	1	2	2	1
2	1	2	1	1	2	1	0.689182	2	3	3	1	2	1	2	2	1	1	1
2	1	1	1	1	1	1	1.70247	1	1	1	1	1	1	1	1	2	2	1
2	1	2	1	1	2	1	3.16831	2	3	3	1	2	1	1	1	1	1	1
2	1	1	1	1	1	1	2.60872	1	1	1	2	2	1	1	1	1	1	1
1	1	1	1	1	1	1	5.17883	1	1	1	1	1	1	1	1	1	1	1
1	1	2	1	1	1	1	1.24226	2	2	2	1	1	1	1	1	1	1	1
1	1	1	1	1	1	1	16.3393	1	1	1	1	1	1	1	2	1	1	1
2	1	1	1	1	1	1	0.355235	1	1	1	1	2	1	1	1	2	2	1
2	1	2	1	1	2	1	10.1607	2	3	3	1	2	2	1	1	2	1	1
1	1	1	1	1	1	1	0.0379707	1	1	1	1	1	1	1	1	1	1	1
2	1	2	1	1	2	1	4.73676	2	3	3	1	2	1	1	2	1	1	1
2	1	2	1	1	2	1	0.411721	2	3	3	1	2	1	1	1	2	1	1
2	1	2	1	1	2	1	5.80853	2	3	3	1	2	1	1	2	1	1	1
1	1	1	1	1	1	1	2.29781	1	1	1	1	1	1	1	2	1	1	1
2	1	2	1	1	2	1	2.5112	2	3	3	1	2	3	1	2	1	1	1
1	1	2	1	1	1	1	2.02508	1	1	1	1	1	3	1	1	1	1	1
2	1	1	1	1	1	1	6.71109	1	1	1	1	2	1	1	1	1	1	1
2	1	2	1	1	2	1	9.53679	2	3	3	1	2	1	1	2	1	1	1
2	1	2	1	1	2	1	0.325964	2	3	3	1	2	2	2	1	1	1	1
1	1	2	1	1	1	1	11.5387	1	2	2	1	1	1	1	1	1	1	1
2	1	2	1	1	1	1	0.990259	2	2	2	1	1	3	1	1	1	1	1
2	1	2	1	1	2	1	2.35299	2	3	3	1	1	3	1	1	1	1	1
2	1	2	1	1	1	1	4.05911	2	2	2	1	2	1	1	1	1	1	1
2	1	2	1	1	2	1	3.42727	2	3	3	1	1	1	1	1	1	1	1
2	1	2	1	1	1	1	8.70147	1	1	1	1	2	3	1	1	1	1	1
2	1	2	1	1	2	1	2.42454	2	3	3	1	2	1	1	1	1	1	1
2	1	2	1	1	2	1	2.27037	2	3	3	1	2	1	1	1	1	1	1
2	1	2	1	1	1	1	1.80295	1	3	1	1	1	1	1	1	1	1	1
2	1	1	1	1	1	1	0.28139	1	1	1	1	2	1	1	1	1	1	1
2	1	2	1	1	2	1	4.06082	2	3	3	1	2	1	1	2	1	1	1
1	1	1	1	1	1	1	0.567112	1	1	1	1	1	1	1	1	1	1	1
2	1	1	1	1	1	1	1.97993	1	1	1	2	2	1	1	1	1	1	1
2	1	2	1	1	2	1	2.91836	2	3	3	1	2	3	1	1	1	1	1
2	1	2	1	1	2	1	4.08475	2	3	3	1	2	1	1	1	2	2	1
2	1	2	1	1	2	1	4.70922	2	3	3	1	2	1	1	1	1	1	1
2	1	2	1	1	2	1	1.2148	2	3	3	1	2	1	2	2	2	1	1
2	1	2	1	1	2	1	8.82052	2	3	3	1	1	2	1	1	1	1	1
1	1	1	1	1	1	1	1.70604	1	1	1	2	1	1	1	1	1	1	1
2	1	1	1	1	1	1	2.80681	1	1	1	1	2	1	1	2	1	1	1
2	1	2	1	1	2	1	3.42965	2	3	3	1	2	1	1	1	1	1	1
2	1	2	1	1	2	1	7.47897	2	3	3	1	2	3	1	1	1	1	1
2	1	2	1	1	2	1	0.974442	2	3	3	1	2	1	1	1	2	1	1
2	1	2	1	1	2	1	1.42741	2	3	3	1	2	1	1	1	1	1	1
2	1	2	1	1	2	1	2.38853	1	3	3	1	2	1	1	1	2	2	1
1	1	2	1	1	1	1	3.65307	2	2	2	1	1	1	1	1	1	1	1
2	1	1	1	1	1	1	1.49918	1	1	1	2	2	1	1	1	2	1	1
1	1	2	1	1	1	1	1.84278	1	2	1	1	1	1	1	1	1	1	1
2	1	1	1	1	1	1	0.115726	1	1	1	1	1	1	1	1	2	1	1
2	1	2	1	1	2	1	4.33852	2	3	3	1	2	1	1	1	1	1	1
2	1	1	1	1	1	1	2.32321	1	1	1	1	2	1	1	1	1	1	1
2	1	2	1	1	2	1	6.83117	2	3	3	1	2	1	1	1	2	1	1
2	1	2	1	1	2	1	4.44755	2	3	3	1	2	2	1	1	1	1	1
2	1	2	1	1	1	1	1.21308	1	2	1	2	1	3	1	1	2	2	1
2	1	2	1	1	1	1	4.62471	1	1	1	1	2	3	1	1	1	1	1
2	1	2	1	1	2	1	1.04437	2	3	3	2	2	2	1	1	1	1	1
1	1	1	1	1	1	1	0.324121	1	1	1	1	1	1	1	2	1	1	1
2	1	1	1	1	1	1	1.21791	1	1	1	1	1	1	1	1	2	1	1
2	1	2	1	1	2	1	2.5757	2	3	3	1	2	1	1	1	1	1	1
2	1	2	1	1	1	1	0.336122	2	2	2	1	1	1	1	1	2	1	1
2	1	2	1	1	2	1	4.26305	2	3	3	2	2	1	1	1	1	1	1
2	1	2	1	1	1	1	0.15171	1	2	1	1	2	1	1	1	1	1	1
2	1	2	1	1	1	1	3.70251	2	2	2	1	1	3	1	1	1	1	1
2	1	2	1	1	2	1	4.92733	2	3	3	1	2	1	1	1	1	1	1
2	1	2	1	1	2	1	1.32744	2	3	3	1	2	2	2	2	1	1	1
2	1	2	1	1	2	1	6.29586	2	3	3	1	2	1	1	1	1	1	1
2	1	2	1	1	2	1	4.84603	2	3	3	1	2	1	1	2	1	1	1
1	1	1	1	1	1	1	0.307382	1	1	1	1	1	1	1	1	1	1	1
2	1	2	1	1	2	1	1.48683	2	3	3	1	2	1	1	1	1	1	1
2	1	2	1	1	2	1	2.24111	2	3	3	1	2	1	1	2	1	1	1
1	1	1	1	1	1	1	1.57836	1	1	1	1	1	1	1	1	1	1	1
2	1	2	1	1	1	1	7.5335	1	3	1	1	1	1	1	1	1	1	1
2	1	2	1	1	1	1	1.99299	1	3	1	2	1	1	2	2	1	1	1
2	1	2	1	1	1	1	1.57593	1	1	1	1	1	3	1	1	2	2	1
2	1	2	1	1	1	1	0.753161	2	3	3	1	1	1	1	1	1	1	1
2	1	2	1	1	1	1	2.56304	1	1	1	1	2	3	1	2	1	1	1
1	1	2	1	1	1	1	1.91375	1	1	1	1	1	3	1	1	1	1	1
1	1	2	1	1	1	1	2.09052	1	1	1	1	1	3	1	1	1	1	1
2	1	1	1	1	1	1	0.404107	1	1	1	1	2	1	1	1	1	1	1
2	1	1	1	1	1	1	3.4751	1	1	1	1	1	1	1	1	2	1	1
2	1	2	1	1	1	1	3.34059	2	2	2	1	2	1	1	1	2	2	1
2	1	2	1	1	1	1	2.59287	1	3	1	1	1	1	1	2	1	1	1
1	1	2	1	1	1	1	1.84964	2	2	2	2	1	1	1	1	1	1	1
2	1	2	1	1	2	1	2.12746	2	3	3	1	2	1	1	1	1	1	1
2	1	2	1	1	1	1	1.54119	1	3	1	1	1	1	1	1	2	2	1
1	1	2	1	1	1	1	3.09225	1	2	2	1	1	1	1	1	1	1	1
2	1	2	1	1	2	1	0.984227	2	3	3	1	2	2	1	2	1	1	1
2	1	2	1	1	2	1	1.21511	2	3	3	1	2	1	1	1	1	1	1
2	1	2	1	1	1	1	1.18723	1	2	2	1	2	1	2	1	1	1	1
1	1	1	1	1	1	1	1.37242	1	1	1	1	1	1	1	1	1	1	1
2	1	1	1	1	1	1	0.365557	1	1	1	1	1	1	1	1	2	2	1
1	1	1	1	1	1	1	0.732062	1	1	1	1	1	1	1	1	1	1	1
2	1	2	1	1	1	1	0.431721	1	1	1	1	1	3	1	1	1	1	1
2	1	2	1	1	2	1	5.02484	2	3	3	1	1	1	1	2	1	1	1
2	1	1	1	1	1	1	2.47498	1	1	1	1	2	1	1	2	2	2	1
1	1	1	1	1	1	1	2.92504	1	1	1	1	1	1	2	2	1	1	1
2	1	2	1	1	2	1	0.682922	2	3	3	1	2	1	1	1	1	1	1
2	1	2	1	1	2	1	9.11967	2	3	3	1	2	1	1	1	1	1	1
1	1	2	1	1	1	1	3.93455	1	1	1	1	1	2	2	1	1	1	1
2	1	2	1	1	1	1	3.16104	1	2	2	1	2	3	1	1	1	1	1
1	1	2	1	1	1	1	4.60598	1	2	2	1	1	1	1	1	1	1	1
2	1	2	1	1	2	1	1.70782	2	3	3	1	2	1	1	1	1	1	1
2	2	2	1	1	1	1	1.66717	1	1	1	1	2	3	1	1	1	1	1
1	1	1	1	1	1	1	9.57855	1	1	1	1	1	1	1	1	1	1	1
2	1	2	1	1	2	1	0.977536	2	3	3	1	2	1	1	1	1	1	1
2	1	2	1	1	2	1	4.70948	2	3	3	1	2	2	1	1	1	1	1
1	1	1	1	1	1	1	0.455219	1	1	1	1	1	1	1	1	1	1	1
2	1	2	1	1	2	1	6.12015	2	3	3	1	2	1	1	1	1	1	1
1	1	1	1	1	1	1	3.96338	1	1	1	1	1	1	1	1	1	1	1
2	1	2	1	1	2	1	1.34524	2	3	3	1	2	1	1	1	1	1	1
2	1	2	1	1	2	1	0.867365	2	3	3	1	2	1	1	1	1	1	1
1	1	1	1	1	1	1	0.426986	1	1	1	1	1	1	1	1	1	1	1
1	1	2	1	1	1	1	2.24558	2	2	2	1	1	1	1	1	1	1	1
1	1	2	1	1	1	1	8.68619	1	2	2	1	1	1	1	1	1	1	1
2	1	2	1	1	1	1	0.0396086	1	1	1	1	1	3	1	2	2	1	1
2	1	2	1	1	2	1	3.46897	2	3	3	1	2	1	1	1	2	1	1
2	1	2	1	1	1	1	3.47859	1	2	2	2	1	2	1	1	1	1	1
2	1	2	1	1	2	1	1.60722	2	3	3	1	2	1	1	2	1	1	1
2	1	2	1	1	1	1	3.07112	2	3	3	1	1	1	1	2	2	1	1
2	1	2	1	1	1	1	3.66511	1	1	1	1	2	3	1	1	2	2	2
1	1	2	1	1	1	1	3.89798	2	1	1	1	1	3	1	1	2	1	2
2	1	2	1	1	1	1	2.51723	2	3	3	1	1	1	1	1	1	1	1
2	1	2	1	1	2	1	1.13568	2	3	3	1	2	3	1	1	2	1	1
2	1	2	1	1	2	1	4.28818	2	3	3	1	2	1	1	2	2	1	2
1	1	2	1	1	1	1	1.349	1	1	1	2	1	3	1	1	1	1	1
2	1	2	1	1	1	1	5.80801	1	1	1	1	1	3	1	1	2	1	1
2	1	2	1	1	1	1	1.71918	1	1	1	1	1	3	1	1	1	1	1
1	1	2	1	1	1	1	3.71715	1	1	1	1	1	3	1	1	1	1	1
2	1	2	1	1	2	1	1.5999	2	3	3	1	2	2	1	1	1	1	1
2	1	2	1	1	2	1	4.55826	2	2	2	1	2	1	1	1	1	1	1
2	1	2	1	1	2	1	2.60412	2	3	3	1	2	3	1	2	1	1	1
1	1	1	1	1	1	1	1.52876	1	1	1	1	1	1	1	1	1	1	1
2	1	2	1	1	2	1	0.596352	2	3	3	1	2	3	1	1	1	1	1
1	1	2	1	1	1	1	2.00945	2	2	2	1	1	1	1	1	1	1	1
