Genotype	TraitA_T1	TraitA_T2	TraitA_T3	TraitB_T1	TraitB_T2	TraitB_T3	TraitC_T1	TraitC_T2	TraitC_T3
2	-2.2192	0.84322	0.73021	0.71513	-0.79164	0.61126	-1.2986	0.89057	-1.4685
1	0.42429	-0.65294	-1.9493	-0.77983	-1.2761	0.99263	0.051924	0.83436	-0.0079187
2	-0.85155	0.9691	1.1731	1.0504	0.39302	0.030178	-0.70262	-0.014959	-0.31945
1	-1.4662	-0.5934	-2.0914	-0.76279	-1.7903	0.94245	0.96374	-1.6733	-1.8091
1	2.0716	-0.52844	-0.183	-0.032514	1.4843	0.28402	0.37221	-1.4476	2.8712
2	-1.0437	1.5094	-0.23396	-0.84804	0.43785	0.19966	0.3728	0.15043	0.10549
1	1.0647	-0.35638	-1.0854	0.78756	-0.99107	0.098816	-0.32975	-0.68451	0.71344
1	0.58146	-0.46614	-2.9113	-0.032848	0.052376	-0.36411	0.87461	0.28033	-0.61848
2	-0.6251	1.3257	0.36072	-0.042944	0.66071	-0.33981	2.0873	1.2161	0.089706
1	1.57	-1.26	-2.0278	1.5331	-1.5343	0.019093	-0.73556	1.0316	0.41452
2	-1.6998	1.0471	-0.0095397	-0.72037	0.30428	0.18062	0.86143	-0.31801	-0.86127
2	-1.0544	1.9761	1.1994	1.7876	-0.24561	0.01978	1.4123	0.19675	-0.022687
2	0.38235	2.3798	0.42045	0.97856	1.7099	0.20914	1.0505	1.9808	1.482
1	1.8991	-2.1024	-0.53897	0.20839	1.3568	-1.4725	0.16263	0.069291	1.5719
2	-2.2901	1.333	1.1433	-0.53918	-0.41394	-1.0484	-1.2332	0.068735	-2.0475
1	1.9123	0.027091	-0.067604	-0.86429	-0.73426	0.65875	-0.59697	1.1903	-0.068242
2	-1.8834	1.7232	1.3404	-0.096031	-0.1779	1.2453	0.23601	-0.81722	-0.8237
1	-0.33029	-1.4141	-0.24236	0.3117	-0.28893	-1.536	0.63391	0.97915	-0.30591
2	-1.0004	-0.17153	0.80903	-1.3152	-0.28004	-2.5356	0.25062	-1.6221	-0.2114
2	0.92525	0.78374	0.44585	0.87215	0.67229	1.6991	-0.45347	0.21751	0.95898
1	0.47842	-0.79727	0.0099566	0.8919	0.31135	-0.62503	-0.99073	1.5268	0.43918
1	-0.52618	-0.57407	-1.5704	-1.9977	-1.8715	0.99632	1.124	2.1038	-1.3776
2	-0.8334	1.5897	0.82506	-0.045645	0.23407	-1.1836	-0.86756	0.52102	0.23901
1	1.0179	-0.6531	-0.53277	0.32403	1.226	-0.27361	-1.5967	-0.20229	1.5482
2	-0.82762	0.26361	2.4807	-0.49628	-0.44792	1.295	-1.0416	0.29424	-1.0789
1	1.569	0.14532	-1.3216	-1.1622	-0.46791	0.10723	-0.74658	1.7246	0.087136
1	0.93783	-1.0786	-1.6758	-2.3367	-1.4745	-0.78743	0.85399	0.0085691	0.79439
2	-2.9555	1.122	1.8506	0.65602	-0.66402	0.25697	0.75048	0.21667	-2.1374
2	-1.5843	0.24076	0.71071	-0.16959	-1.0254	0.44363	1.1218	1.0872	-1.2214
2	0.82202	1.2273	-0.2641	1.1674	0.72576	-0.6655	-0.33565	-0.57264	1.0462
1	0.83408	-0.90235	-0.3935	0.086621	1.5353	-0.37978	-0.040736	0.54884	1.0078
2	-0.30426	0.26772	1.1941	0.52251	1.9104	-0.10785	0.40619	1.0277	1.0258
1	0.81767	-2.1549	-1.0066	-1.1068	-0.3204	0.70458	-1.0728	0.7519	0.49365
1	0.67964	-1.4603	-1.4347	0.76332	-0.97228	-0.9221	1.0028	0.98058	-0.18843
1	1.3794	1.3504	-0.081978	0.31556	0.32948	-2.6404	-1.0646	-1.2234	0.23259
2	0.11139	1.1587	0.66712	-0.46969	0.42	0.31504	0.4697	2.6848	0.14172
2	0.28767	-0.065134	1.3282	0.43016	1.4838	-0.63014	0.62746	0.93536	1.6029
1	2.4805	-0.73041	-2.1434	-0.61007	0.89886	-0.34815	0.53564	-0.83092	1.359
2	-1.7925	1.8972	1.3604	-1.0549	-1.2652	1.3518	-0.049884	-1.2196	-0.88755
2	0.47058	1.4302	-0.034783	-0.11473	1.0041	1.0036	-0.46028	1.0611	1.2613
1	2.6579	-0.31683	-1.1155	-0.65359	0.96673	0.64757	1.2194	-0.90696	1.8217
2	-0.29097	0.91367	1.5236	-1.0735	0.71821	-2.1156	0.11456	-0.37247	0.64467
1	0.68355	0.40105	-1.7852	1.3169	0.6179	-1.3712	0.05004	-0.65314	1.1103
2	-1.8738	2.4006	1.8782	-2.1995	0.49239	-0.6918	-0.70293	-0.74597	-0.3239
2	-0.36364	1.0943	0.62818	0.1429	0.85651	-0.96809	0.12213	-0.94343	0.42158
1	0.40116	-1.4861	-0.049336	0.72652	0.1255	-1.1187	-0.38912	0.060771	-0.29816
1	1.1364	-0.828	-0.44475	0.81314	-0.45463	0.73019	-0.57071	0.32484	0.046647
1	0.91034	-0.95145	0.43201	0.76891	-1.5873	-0.38206	0.28662	0.23105	0.11712
2	-0.27208	2.2223	1.2591	0.70003	0.89367	1.0322	0.41848	0.96986	0.17078
1	1.0624	0.048938	-1.002	-1.0531	-0.28385	0.30108	0.62074	0.39829	0.27699
1	0.57701	0.094694	-1.3989	0.15018	-0.44071	0.74259	-1.2663	0.33047	-0.45917
2	0.11706	2.795	0.35611	-0.68956	2.1138	0.36961	-1.3806	-1.1414	1.9844
2	-1.2526	0.11214	0.40367	0.83874	0.37692	1.4445	-0.77317	-0.40136	-0.42244
2	-1.4336	-0.32339	1.3392	0.7596	0.0091892	1.0806	-0.81666	-0.39415	-1.9858
2	0.5554	1.0643	0.50191	0.37325	2.0674	0.38376	-0.13487	-0.37455	0.64987
1	1.6028	1.107	-0.9114	0.97541	0.88036	1.66	1.4044	-0.46919	0.80681
1	1.6228	-1.3906	-1.8136	0.56649	-0.87823	-1.8194	0.30195	1.2461	-0.07587
2	-0.97076	1.5212	1.1269	0.4029	0.19516	-1.5031	0.85567	0.18958	-0.20832
1	1.3197	-1.8366	-0.24704	0.34608	-0.77044	1.1945	1.6826	0.91217	0.30079
2	-0.38255	-0.2812	0.27203	-1.2858	0.86735	-0.54848	-1.3505	0.57415	0.12916
2	-2.878	1.5199	0.74535	-1.4308	-2.2635	-1.4245	0.89574	0.037623	-2.7177
2	-1.7715	0.74699	0.96279	-1.306	-0.36677	-0.36708	1.4602	-0.85456	-0.40898
2	-1.3391	1.2012	0.7409	-1.3102	0.40133	-0.076096	0.51637	0.33495	0.25003
1	0.65017	-0.57483	-1.7053	0.21131	-0.38338	1.6998	-0.70762	1.5248	0.1473
1	-0.14679	-1.5979	-1.2765	1.041	-0.00072624	-0.19359	0.17338	-0.96136	0.51031
1	1.8145	-1.0318	-1.0633	-0.098291	1.1755	-0.57137	1.7174	-0.14248	1.4282
1	0.80523	-0.96777	-1.8989	0.063236	-1.2783	0.72214	-0.99392	-0.017507	-0.52743
1	1.479	-1.2772	-1.1642	0.13841	0.83641	0.12311	1.2557	-0.37799	1.6174
2	-1.423	-0.24793	0.49465	1.1461	-1.0896	-0.16348	-0.76872	-0.40631	-1.8538
1	1.5733	-0.26875	0.42772	-0.75241	-0.0059677	0.65109	0.67958	0.47183	-0.10405
1	1.7405	-1.3987	-0.91804	0.30851	-0.37195	-0.30858	-1.2002	0.51775	0.60525
1	1.0571	1.4951	-2.5784	0.023453	0.064363	0.2392	0.93292	-0.37825	0.58165
2	-0.35492	0.69359	1.5161	0.58499	-0.44209	-0.09004	-0.70298	-1.1197	-0.12251
1	0.61469	-1.1159	0.11919	0.1796	-0.94894	0.012732	-0.69651	0.21311	-0.52283
1	-1.2282	-0.050497	-0.83443	-0.28534	-2.0051	-1.3528	0.096769	-0.67245	-1.2668
1	1.0411	-0.016327	-1.927	-0.10683	-0.70277	-1.4696	-0.021181	-0.34105	0.46198
2	0.64635	0.84883	1.6319	0.2406	1.8836	0.31359	-0.69264	0.96691	1.3021
2	-0.3604	0.050276	0.95661	0.18902	1.5034	1.3017	-0.045011	-0.92727	0.70494
2	0.60646	1.598	1.395	-1.3791	1.8106	0.097276	0.74515	-0.4425	0.62478
2	-0.099653	-0.54799	-0.1078	-0.18908	1.4643	-0.49221	0.050585	-1.2949	1.4842
2	-0.98803	0.016928	1.2978	-0.29336	-0.2433	-0.90577	-0.18704	-0.22856	-0.39148
2	-1.2267	0.82318	0.77338	0.0029744	0.15114	1.4265	1.6722	-0.18878	0.083877
2	0.32455	0.48697	0.87077	-1.2598	0.89457	-0.2656	-0.4774	-0.22382	0.86019
2	-1.6768	0.28366	1.7541	1.4309	-1.0277	-0.49835	-0.31204	-0.04057	-2.2507
2	-0.83915	0.98617	0.024566	0.14541	0.40801	-0.010211	1.7726	-1.3709	0.30366
2	-0.12663	0.15335	0.70774	2.1504	1.6066	-0.39836	1.078	-0.017324	0.94477
1	1.1185	-0.39853	-0.011251	-0.0047654	-0.018256	-0.97102	1.8801	0.5724	0.70777
2	-0.96731	-0.023776	1.2924	-0.94814	1.0413	0.3092	-0.06342	-0.032081	-0.22356
1	1.1481	-1.0434	-2.2223	-1.2686	0.27026	-0.40422	-0.34583	2.2763	-0.16972
2	-0.73981	1.2266	0.71139	-1.5638	0.084373	0.09421	-0.94629	-0.73173	-0.13897
1	0.10133	0.032746	-1.5397	-1.7164	-0.96537	0.18106	0.47324	-0.32186	-0.44953
1	2.3032	0.37332	-1.7518	-0.97719	0.21786	-0.29424	-1.6122	-0.3313	0.34243
2	0.30487	0.96988	0.7649	1.2021	0.93113	-0.55965	-1.8153	-0.34231	1.0416
1	0.9734	-1.1492	0.54826	0.24535	-1.1123	-0.013547	-0.72623	0.9444	-0.19613
1	1.3053	-1.4227	-2.1548	-0.99601	0.99751	0.37094	-0.24703	-0.92319	0.81674
2	-0.0084211	1.8266	0.94339	-0.96922	2.2496	0.14622	2.3348	-0.34993	1.4151
1	0.64848	-1.4999	-0.79935	-0.18624	-2.4443	0.91037	-0.16866	-0.15122	-1.2117
1	0.99806	-1.9897	-0.90507	0.86062	-0.34118	-0.4535	-0.54746	1.5108	0.91863
1	-0.30169	-1.2768	-1.1305	-0.01759	0.06726	-0.39978	0.52015	0.96655	0.12442
1	0.76671	-0.91781	-2.0919	0.37685	-0.19301	0.73072	1.2156	1.439	0.0070513
2	0.66141	0.90111	1.0491	-0.66199	1.9568	-1.2392	0.18616	1.0926	1.652
1	2.2346	0.19579	-0.82941	0.65367	0.48104	-0.33862	0.11669	0.66087	1.1783
2	-1.3061	1.9587	1.3667	1.1907	-0.51821	-0.2974	-1.0178	0.34352	-0.018939
2	-2.4636	0.65586	1.618	-0.50642	-0.63857	-0.65954	-0.9133	0.027975	-1.4977
1	0.89124	-0.8583	0.34126	-0.30785	0.91808	-2.22	1.2944	-0.27909	1.487
1	1.9669	-0.26343	-2.0878	-0.29226	1.7407	0.64013	0.32367	0.44562	1.1292
2	-1.6773	1.1266	1.5663	0.16226	-0.34514	0.84293	-0.44423	1.0172	-0.78509
2	-0.7714	0.64263	0.67055	-0.12578	0.030391	0.57791	-0.87634	0.28154	-0.261
2	-1.0233	1.1382	0.044689	-1.1241	0.94709	-0.58888	-0.6081	-1.1033	0.0014883
1	-0.89032	0.083064	-0.12604	-0.88751	-0.91556	0.98782	-0.96295	0.75564	-0.69265
1	1.3655	-1.0533	-2.2171	0.66166	0.025806	0.67579	0.34249	-0.62323	1.0886
1	0.56399	-0.71728	-2.1219	0.31633	-0.71031	0.87407	-0.34701	0.53176	0.10037
1	-0.29942	-2.2988	-3.1477	0.24441	-0.72899	0.88463	-0.8288	-1.1141	-0.93797
2	-1.6019	1.5308	0.77275	-0.1597	-0.62304	-0.59345	2.1367	0.64165	-1.6089
1	0.43998	-1.5333	-1.9005	0.44722	-0.13187	0.57419	-0.61413	-0.37988	0.13118
1	0.32451	-0.97656	-0.87335	0.35494	-1.1928	-0.086298	-1.1026	-0.97919	-0.21726
1	1.1693	-0.39422	-1.1447	-0.52351	-0.30333	-0.48954	-2.0032	0.46507	0.28567
2	-1.0178	-0.043439	0.70679	0.14463	0.58141	0.098977	-0.88721	-0.15542	-0.56848
2	-1.864	0.19456	0.95611	-0.51705	-0.71043	0.72604	-0.62148	0.50157	-1.4442
1	1.1946	-2.0839	-0.6101	-0.83583	-0.63001	-2.1693	0.72895	-1.5658	-0.082817
1	1.1312	-0.95042	-0.78674	-0.86549	-1.6625	-1.463	0.99593	-0.16553	-0.34155
1	0.1384	-1.7694	-1.1965	0.66966	-0.69619	0.30805	-0.080061	-1.5587	-0.319
1	1.4232	0.30662	-1.3935	-0.69947	-0.00055014	-0.019403	1.7703	1.0318	0.42129
1	1.3138	-1.6567	-1.8236	-0.83594	0.59818	-1.9568	-0.73185	0.59719	0.62349
1	2.1276	-1.5641	-1.0272	-0.22706	-0.61297	-0.86845	-0.16811	1.1233	0.63294
1	0.86327	-1.1672	-0.4862	0.32957	-0.080302	0.81128	0.71627	0.55966	0.56367
2	-1.1147	1.2413	0.85755	-0.98983	0.37471	-1.5058	0.52838	0.36411	-0.48627
1	0.75511	-1.5314	-1.2234	-0.066617	0.54207	-0.84565	-0.12893	1.9402	0.7808
1	1.1796	-1.5249	-0.84271	0.7095	0.87459	0.4211	0.58894	-0.13679	0.9324
1	0.93365	-0.83064	-1.7063	-0.39808	-0.20153	-0.35447	-0.30854	-0.57078	0.36515
1	1.8917	-1.3609	-1.8857	-0.17194	1.2951	1.1315	1.4558	-0.089841	1.2983
2	-2.5895	-0.48061	0.79532	0.78346	-0.065639	-1.4548	-0.32083	-0.6721	-0.66455
2	-0.63117	1.7367	0.74948	-0.57156	0.163	0.86543	0.20003	-0.75063	-0.21691
1	0.95464	-0.59931	0.43364	-1.307	0.20536	-1.2766	1.1449	0.17596	0.4256
2	0.38623	0.55334	1.5367	-1.3081	1.5091	-0.032931	0.56364	0.54856	0.53007
1	1.1646	-2.9641	-0.86913	-0.68118	-0.086229	0.93707	-0.76042	0.057056	0.064744
2	-0.51373	2.3748	0.37243	1.8737	1.2164	0.68405	-1.2926	0.33967	0.46045
2	-1.716	-0.27518	0.71898	2.139	-1.1262	-0.42262	0.11487	1.2112	-1.1357
1	0.81098	-1.6862	-1.1448	1.5806	0.07478	2.1746	-1.067	-1.0274	0.15241
2	-0.52225	1.1834	1.2802	-1.2321	0.53041	-0.29027	1.498	-0.42998	0.29824
1	1.4067	-0.73586	-1.4675	0.36902	1.0718	1.0513	1.6971	-0.35651	1.4181
1	1.6396	-0.50918	-1.5239	0.079563	-0.21164	0.21185	1.565	-0.65063	0.82484
2	-1.8129	1.1552	0.21773	0.85556	-0.54894	-1.3206	-0.70958	-0.76325	-0.45363
1	0.08024	-2.4412	-2.6136	0.63901	-0.43723	0.30985	-0.87622	0.32545	-0.64188
2	-1.3992	1.86	0.38514	-0.16959	-0.24569	-0.82319	-0.33765	-1.4312	-1.2661
2	-0.86537	1.8958	0.18147	-1.9666	-0.72909	0.10657	-0.67092	-0.092301	-0.26755
1	2.036	-0.70975	-0.61637	-0.56185	0.88033	0.41052	-1.1744	1.3238	1.9451
1	-0.72085	-1.0706	-1.5233	-1.0609	-2.2981	-0.92031	0.85305	0.92412	-2.0596
1	0.55799	-0.18829	-1.3832	-0.54916	-0.1609	1.5505	0.19265	-0.46904	-0.37963
1	0.57613	-0.29024	-0.82884	-0.28827	-0.62227	-1.1992	-0.81165	1.2746	-0.14435
2	-2.1458	-0.13362	1.3613	-0.6849	0.26747	0.16034	0.47253	-1.0468	-1.4435
1	0.75481	-0.80985	-1.7562	0.11274	-1.361	0.2692	-0.33398	-1.981	-0.45146
2	-0.63689	1.4115	1.1256	-0.48954	0.22227	0.083383	-0.68005	-1.3527	0.15794
1	0.20488	-0.8585	-1.7057	-0.10785	-0.51512	-0.21105	-0.2347	0.50991	-0.2296
1	0.33051	-0.82281	-1.4551	-0.49943	-2.2164	-1.243	0.92027	-0.28432	-0.9815
2	-1.5323	1.4825	0.19568	-1.2659	0.39757	-0.31925	-1.2746	1.0148	-1.2882
1	1.5044	0.37718	-2.1235	-0.61248	0.60182	2.0258	1.4868	-1.3682	0.2884
2	-1.6985	1.5229	0.84929	-0.10283	0.041132	0.4637	0.8772	0.68429	-0.14624
2	-1.3935	1.1026	0.31729	1.3348	0.69002	0.8169	-1.0187	-1.2712	-0.32986
2	-0.86151	1.1122	1.3	-0.32921	-0.41074	-0.70612	0.6009	0.3163	-0.097953
2	-2.0673	1.6355	0.097123	0.91473	0.5959	1.3796	-1.1231	1.8893	-0.22321
2	-2.4777	1.7124	-0.15192	-0.52093	-0.16443	0.4923	0.66793	-1.2934	-0.85227
2	-1.3134	0.016105	1.4176	-1.6019	0.1775	0.25622	-0.55297	0.3436	-0.7072
2	-1.0597	1.7595	0.80528	-1.8325	0.76506	-0.3233	-1.6869	2.265	-0.08971
1	1.1695	1.0881	-0.63283	-1.785	-1.7752	-0.58415	0.69137	0.82675	-0.3004
1	2.1262	-1.8156	-0.39282	-0.80595	0.050324	-0.16373	-0.47151	0.80027	0.54389
1	1.063	0.25296	0.17061	-0.1157	-0.59899	-0.43356	0.60152	-1.3515	1.3947
1	-0.10155	-0.81702	-0.9886	-1.1247	-1.0497	-1.185	-0.15332	0.4469	-0.096871
2	-0.57577	0.74889	1.8408	0.28509	1.5472	1.9763	1.6429	-2.0436	0.74455
1	-0.75989	-1.2425	-0.34199	-0.818	-2.3858	0.47522	-0.23387	-0.28078	-1.309
2	-2.0495	2.5682	1.5694	-0.41676	-0.74454	-2.4393	-1.1153	-0.57367	-0.54138
1	0.77924	-2.4438	0.15312	1.4288	-1.2908	0.81841	-1.6958	-0.26358	0.81237
1	1.3679	0.40158	0.13439	-1.4677	0.89536	0.41708	-1.1908	0.96858	0.56786
2	-1.4326	-0.13779	0.41395	-0.42952	-0.17306	2.1264	-1.3315	0.86756	-1.089
1	0.88958	-2.3905	-0.67529	1.2911	-0.38016	-0.3412	1.1386	0.057707	-0.36773
2	-1.5711	0.45979	1.0688	0.26169	-1.6144	-0.35448	-0.53559	0.42875	-1.6729
1	1.0892	-0.40625	-1.2024	-0.24455	0.22748	0.98424	0.43801	-0.59885	0.46111
2	-0.99813	0.68247	1.2314	-1.1455	0.047651	0.30609	0.32837	0.35498	-0.81578
2	-0.68839	1.6801	2.0582	-1.4603	-0.88636	1.3908	-0.57986	-0.0037434	-0.53515
1	0.40464	-2.6344	-0.28752	-0.51213	-0.48685	0.69834	-1.2208	0.065339	-0.45076
2	-2.4333	-0.012759	1.469	2.659	-0.5377	-0.71507	1.0595	-0.18563	-1.5926
2	-0.6268	1.4389	1.2319	0.08302	0.44274	0.39782	-0.67528	0.38559	-0.65921
2	0.8026	0.80659	1.1495	0.74086	1.2964	0.062532	-0.28188	1.5504	1.1851
1	0.21066	-1.3587	-1.018	-0.87592	-0.69085	-0.72849	0.38214	0.62269	0.18878
1	1.0048	-0.91952	-0.66448	-1.3416	0.25265	-1.2612	-0.049135	0.82484	1.005
2	-1.7507	1.7795	1.0866	1.9423	0.058961	0.96838	-0.3094	-0.2146	-0.7414
1	0.97472	-0.061041	-0.36624	-0.7592	0.64262	0.81729	0.82749	1.823	0.34266
1	-0.18399	0.0091627	0.45289	-1.2116	-1.9977	1.0641	0.8541	-0.49246	-0.92098
1	2.9043	-1.4253	-1.4868	1.7467	0.4367	0.05544	0.35801	-0.91383	1.8223
2	-2.5691	0.54849	1.5138	-0.75521	-1.646	0.98134	-0.18735	-0.6348	-1.9734
1	2.3396	0.33806	0.69458	1.1091	1.2125	0.33828	-0.35002	1.1751	2.2485
1	1.6685	-1.3783	-1.9317	-0.42944	1.2029	-1.4867	0.066998	-0.79486	1.4035
2	-2.0928	0.53632	0.66581	1.2841	-0.60555	0.040915	3.1538	-0.056627	-0.83943
1	1.5062	-0.82059	-0.74344	0.44647	0.59511	0.72422	0.62593	1.4268	1.2028
1	0.37623	-2.4777	-1.3103	0.80402	-1.0351	-0.65952	1.4683	0.29902	-0.49379
1	1.4315	-2.0349	-0.31206	0.050746	-0.13336	-0.038433	-0.51562	0.99598	0.8749
1	0.46095	-1.5658	-1.8801	-0.54485	-0.65584	0.76544	0.2493	-1.0033	0.76074
1	2.6758	-1.3401	-0.74083	-0.48907	1.4859	0.80109	0.084022	-1.1922	2.1735
1	2.0061	-1.4527	-1.0237	-0.0063521	0.45363	-0.80533	0.53272	1.6309	1.1671
2	-0.13994	1.3236	0.36193	-1.5754	0.31655	-0.87259	-0.30997	0.42034	0.078694
1	0.48288	-1.4314	-1.2834	-0.79288	-0.031895	-1.3756	1.1439	0.092314	-0.51815
2	-0.47435	0.79761	0.43073	0.79731	0.57061	-0.28187	-0.50956	0.11834	-0.90176
1	0.29318	-0.50799	-1.2929	0.33339	-1.3628	-0.65651	1.332	-0.60648	-0.83894
2	-1.606	1.6449	0.77136	-2.1167	-0.16742	1.837	0.85353	-0.61236	-0.63417
1	-0.1001	-0.77059	-1.5772	-1.6877	-0.97173	0.63499	-0.3566	0.22712	-0.64236
1	1.2767	0.51264	-1.027	-1.5029	0.52605	1.3738	0.83457	0.29704	0.33919
1	1.1191	-0.064296	-0.48267	-1.782	-1.2738	0.17159	-0.28188	0.29923	-0.58741
2	-0.63826	1.8527	1.7133	-0.056135	1.8808	-1.6172	-1.0494	0.61158	0.043977
1	1.2643	0.64783	-1.0678	0.74684	0.01604	0.0964	3.1502	1.0929	0.73344
1	0.12706	-0.4412	-0.89289	-1.3539	-0.058561	0.67775	-0.3655	0.095055	0.96019
2	-3.0835	1.5862	0.75303	-0.24237	-1.08	-0.96917	-0.3816	-0.81532	-2.8002
1	0.51225	-1.7399	-0.75798	-0.067637	-1.3492	-1.6732	0.13661	0.60332	-0.10099
2	-1.7725	0.80999	1.2954	1.1806	-0.26584	1.0747	-1.4449	-0.67675	-0.87535
1	0.14033	-1.4421	-0.77783	-0.66938	-0.73477	0.79103	-1.159	-0.063733	0.25614
2	0.076697	0.50986	1.3258	1.965	0.90572	-0.69409	-0.34803	-0.63785	0.081812
1	0.66949	-1.0812	-0.32498	1.1384	-0.35031	0.88344	1.5788	0.36127	0.94262
1	1.8522	-1.2292	0.14775	-0.72146	-0.62468	0.46004	1.3635	-0.57543	0.34048
1	1.0906	-0.60665	-0.65963	1.0382	-0.42593	1.3403	-0.15771	0.76656	-0.12989
1	0.27921	-0.21562	-0.17954	0.91419	-2.0093	1.7467	-0.4308	-1.0916	-1.2044
1	1.1757	-1.4632	0.1861	-0.99194	0.13545	2.4954	0.10044	-0.27133	0.69247
2	-0.99062	-0.018655	1.4302	0.24467	1.1165	1.0648	-1.6885	1.0959	0.95405
2	0.86302	0.92628	1.1209	2.4521	0.28548	0.38878	1.5759	-0.85559	0.53646
1	0.69515	-0.49791	-1.0236	-0.92469	-1.2116	1.3456	-0.79874	1.204	-0.56016
2	-2.4796	1.3958	0.87657	0.44706	-0.16121	1.5481	0.71852	0.27896	-0.66289
1	0.43301	-0.79901	-0.59228	0.77222	-1.3966	0.25029	1.254	0.29857	-0.62542
1	-0.27647	-1.1822	0.41671	-1.3611	-0.55777	-0.50963	-0.30934	-0.59363	0.061939
1	0.38513	-2.9318	-0.54247	0.37014	-0.073925	1.5321	0.23051	-0.57138	0.11674
2	-1.8571	0.45699	1.201	0.10404	-0.60138	-1.7736	0.42053	-0.79846	-1.4224
1	0.62359	-1.7125	-0.62582	-0.042918	-0.36669	-0.56715	-0.062339	0.89859	0.30456
2	-1.6533	0.84354	1.6735	-1.2605	-0.43289	0.48404	0.28039	0.78245	-0.57258
2	-0.080794	1.1924	1.4788	-0.67232	0.47322	1.1845	-0.012908	-1.4312	0.93776
1	0.16058	-0.57081	-2.6514	1.4884	-2.1855	0.65477	0.47093	0.15081	-1.1277
2	-1.1955	0.99242	0.9036	0.18329	0.18	-1.2844	-0.11974	0.18755	-0.45505
1	1.1671	-2.6976	-0.50301	-0.58948	-0.51739	-0.45284	-0.012968	0.20125	0.57372
1	-0.32345	-1.1455	-1.2572	0.10599	-0.55736	-0.50023	-0.14238	-0.46824	-1.259
1	-0.25853	-1.7978	-0.029919	-0.29829	-1.0868	1.6792	-1.0787	-2.2796	-0.53019
1	-0.36174	-1.3337	-1.1195	-0.31725	-0.95852	1.0132	1.7214	-1.0866	-0.13132
2	-1.1173	0.24817	1.2532	-0.7469	0.27598	-0.84941	-0.49835	0.56046	0.59012
2	0.30144	2.7931	0.91519	-0.84696	0.23668	-0.88296	0.72892	1.0513	0.19212
1	1.4905	-0.4007	-0.54397	0.15127	-0.74687	0.61323	-1.8356	0.59089	1.1093
1	-0.35132	-1.9883	-1.256	0.93049	-0.70667	-0.28659	-0.42879	-1.362	-0.50144
1	1.2429	-1.5525	-0.20626	0.072086	-0.39782	0.68157	-0.53323	1.8666	0.045473
2	-1.2196	0.14752	-0.53211	-0.7467	1.1406	-0.56244	0.29943	-1.4297	0.46157
