Genotype	Gene3	Gene2	Phenotype	Gene1
1	-1.2392	-1.4976	-1.3607	-3.0231
1	-0.3896	-0.42846	-0.75791	-1.7643
2	1.5723	1.0907	2.0144	1.5574
2	0.8587	1.1411	1.1627	1.9495
2	-0.77478	-0.39283	-0.0099916	0.64003
2	0.1672	0.63395	0.41181	1.3391
2	-0.14637	0.26969	0.82956	0.41884
2	0.14447	-0.10291	-0.287	0.80367
1	0.18687	-0.27602	0.27575	-0.63094
2	1.2428	1.5281	1.2243	3.0052
1	-0.052875	-0.25162	-0.60352	-1.208
2	0.6821	0.21045	1.2654	-0.013434
1	0.26358	0.068284	0.22081	0.066436
2	-0.62892	-0.053397	0.047075	0.74043
2	-0.78913	-0.2106	-1.804	0.01624
1	0.22995	-0.80286	1.3801	-0.92733
1	-1.9684	-1.1444	-1.8	-2.7373
2	-0.5569	-0.61626	-0.86638	0.4016
2	0.1115	1.0784	-0.3657	1.3313
1	-0.64278	-0.82557	-0.24553	-1.5426
2	0.20989	0.049778	0.14976	-0.17113
2	0.93007	1.927	1.9457	1.1498
1	0.26164	0.15551	-0.033813	0.44309
2	0.73092	1.0348	0.74128	2.4557
2	-0.35204	0.606	-0.43078	1.2194
1	-0.16719	0.40172	0.76466	0.31738
2	0.97519	1.447	1.6576	0.8312
1	-0.47105	-0.44196	-1.6032	0.68482
2	-0.60894	-0.70426	-0.46443	0.86476
2	-0.19328	0.33885	0.7601	0.61242
2	0.12697	0.76843	0.73746	0.81747
1	0.031673	-0.68398	-0.5238	-0.6702
1	-0.93868	0.50393	0.10229	-0.63522
1	-1.0264	-1.1855	-1.9957	-2.5259
2	-0.5916	0.44419	0.014831	0.77302
1	1.0176	0.82793	0.63908	-0.62945
1	0.76611	0.14394	0.43542	-0.86403
2	0.58551	0.21427	1.0034	0.50604
2	-0.34577	-0.40185	-0.61186	-0.40606
1	-0.77597	-1.1617	-1.8329	-3.1861
2	0.068959	0.30321	0.76889	0.34588
1	-1.2576	-1.5157	-1.1779	-0.94907
1	-0.83648	0.090435	0.56704	-0.53314
2	0.88421	1.707	2.6335	2.255
2	0.55861	0.94463	0.9639	0.8637
1	-0.18064	-1.0746	0.99446	-2.7845
1	0.76049	0.26843	1.5167	-0.24873
2	0.35634	-0.24447	-0.97159	0.11146
2	1.7377	2.5182	2.4327	3.2303
1	-1.624	-1.42	-3.435	-1.0498
1	-1.2389	-1.8164	-1.726	-1.1608
1	1.0074	-1.0969	-0.0682	-2.9043
2	0.21432	0.54189	0.15421	1.1324
2	1.5187	2.458	2.1317	3.8317
2	1.5893	1.9248	3.0454	2.0655
1	0.35221	1.6454	1.8029	-0.44455
1	-0.54894	0.55414	0.35949	-1.3991
2	-1.1614	-0.48362	-0.73735	-0.49564
2	1.1159	1.0502	1.0648	0.3003
2	0.96161	2.1506	1.531	2.1461
1	-1.2411	-1.0381	-1.1269	-1.1484
1	0.11049	-0.27275	-0.55964	-0.70906
2	2.2862	2.1313	2.6027	2.2877
1	-0.64184	-1.1552	-0.63442	-1.8594
2	1.9075	1.8567	3.8481	1.9532
1	-0.63126	-0.85427	-0.53335	0.37771
2	0.59491	1.4425	1.9929	0.98581
1	1.5669	0.7286	2.3314	-0.25628
1	-2.1064	-1.9792	-3.209	-1.9161
2	0.62872	0.51499	0.21648	1.4204
1	-0.51532	-0.93122	-0.72578	-1.3459
1	0.041397	-0.61347	-0.034157	-0.054858
1	-0.72287	-1.1269	-1.7365	-1.4906
1	-1.8362	-0.24614	-1.2446	-0.088146
2	0.97014	1.3422	1.5292	0.77185
1	-1.8502	-1.2924	-1.9175	-2.5133
2	0.77748	0.89065	1.1444	0.26583
1	-0.15405	0.089319	0.59477	0.16672
2	1.3054	2.3544	3.2492	1.6727
2	0.92409	1.3741	0.79866	2.0506
2	-0.69943	-0.67926	-1.8186	0.67307
1	-3.2806	-1.8577	-3.5456	-1.7004
2	0.74119	1.0011	-0.11293	2.328
2	0.73779	1.6924	1.7521	1.2604
1	-1.3683	-1.7765	-1.5974	-2.2288
2	0.46839	-0.27199	-0.1524	0.88269
1	-0.73595	-1.4506	-1.408	-1.9886
2	-0.2289	-0.5663	-2.0807	-1.4869
2	-1.0052	0.16268	-0.48156	0.014777
1	-0.10211	0.087625	-1.1098	-1.0203
2	-0.090896	-0.057038	-0.69817	0.19942
2	-0.42191	0.14803	-0.32168	0.049687
2	0.84872	0.59768	1.9205	1.1233
1	0.029696	-1.4186	-0.39548	-0.029631
2	2.0013	1.9999	3.0139	1.6432
2	1.1324	0.89689	-0.1229	0.15109
2	0.93618	2.4521	1.7229	3.4367
1	-1.0037	-1.435	-2.2126	-1.9473
2	-2.2472	-1.296	-2.3762	-1.9611
2	0.62477	1.5212	1.2814	1.4403
2	0.17619	0.488	0.38575	0.19632
1	0.79693	0.15328	-0.26972	-0.45147
2	1.3618	1.6805	1.2152	2.1905
2	-0.36075	1.0698	0.38569	2.5707
1	-0.55325	-0.17572	-1.0232	-1.134
2	0.9795	1.3777	0.26495	0.23258
1	-0.92872	-1.2233	-2.1998	-1.9011
1	0.47029	-0.06201	-0.34515	-0.57857
1	-2.6597	-1.5144	-3.0038	-1.949
2	-0.064474	-0.25394	-0.34794	0.76334
2	0.52259	0.76325	0.93484	0.060827
1	0.89037	0.68007	0.50459	-0.88464
2	1.0031	1.3853	1.7313	0.75303
2	0.6954	1.3692	0.19298	1.6174
2	-0.14026	1.1774	0.39386	-0.25913
2	-1.7796	-1.2709	-2.5775	-0.36996
2	0.41557	1.9905	1.839	1.1327
1	0.53878	-0.71974	-0.65395	-0.62597
2	0.22326	1.3888	0.17221	1.2265
1	-0.12667	-1.1336	-0.67	-3.6161
2	1.0183	1.5883	2.2784	1.7509
1	-2.0415	-2.2483	-2.8307	-3.1148
2	-1.1513	-0.08575	-0.62876	2.164
1	0.1961	0.075096	1.9551	0.039445
2	-0.96925	0.12921	-1.2741	1.8371
1	0.34137	0.086468	1.4716	0.55236
1	-0.20756	-0.74846	0.65256	-0.7032
2	1.1736	1.0214	1.258	1.0002
2	0.48081	1.3275	0.54443	1.2194
2	-0.45146	0.38298	0.64902	0.90395
1	0.75519	-1.0627	-0.35778	-1.7689
1	-1.4308	-1.0998	-1.0094	-0.66361
1	-0.097019	0.18029	-9.0423e-07	0.59444
2	1.3769	2.4872	3.2855	0.98727
2	0.79201	0.76361	0.88459	3.119
2	2.5125	2.4776	4.6119	3.966
1	0.57129	-0.93689	-0.20516	-0.42323
1	-0.91517	-0.25445	-1.3515	-0.99354
1	0.17456	-0.98904	-0.49643	-0.8997
1	-2.2724	-1.6869	-3.8034	-2.0882
2	-1.8188	-0.57721	-2.4386	0.058963
2	-0.19227	0.038901	-0.85065	0.6644
1	-1.5517	-0.57182	-0.9874	-1.4081
2	-0.47999	0.49667	0.27351	0.6261
2	0.45041	0.48469	0.55808	2.0659
1	-1.1302	-1.255	-2.7206	-1.2712
1	-0.60672	-1.1008	-2.6889	-1.0078
1	-1.0508	-0.99612	-1.555	-1.0463
2	0.14434	0.97791	1.2498	1.7391
2	0.21333	1.6686	1.219	1.8919
2	-0.35461	-0.64694	-1.3312	-0.10481
1	-2.0611	-2.1245	-3.6067	-1.6584
2	-0.3534	0.45962	-0.39991	0.45667
1	-0.37564	-0.63085	-1.2641	-1.3292
1	0.30023	-0.20283	0.041852	-0.17139
2	0.25089	1.0204	1.8084	1.0493
1	-0.44041	-1.1143	-0.59224	-0.84288
2	-0.11392	0.5681	-0.054604	0.88897
1	0.41829	-1.042	-0.0042274	-1.9512
2	1.4863	2.9227	3.0012	3.1253
1	-0.60588	-1.1196	-1.4647	-0.92268
1	-0.10497	-0.74629	-1.8353	-0.35425
1	-1.2499	-0.83335	-2.4047	-1.4657
1	-0.51414	-1.4602	-0.54649	-1.0475
1	0.56956	0.79545	0.86494	-0.59471
1	-0.64964	-0.78543	-1.9412	-2.2114
2	1.0044	0.56431	1.2968	1.3807
1	-1.1924	-0.69401	-0.72828	-1.7252
2	0.15739	1.0449	0.3742	1.4303
2	0.49582	1.4353	1.1652	1.5814

