Geno1	Geno2	Trait1	Trait2	Trait3	Trait4	Trait5	Trait6
2	1	0.081142	-0.63691	-0.14883	0.66593	-0.13479	-0.22207
2	2	0.10876	-0.23383	1.8314	1.3282	0.4362	0.90139
2	1	-1.0582	-0.97152	-0.57118	-1.2617	0.17115	-0.060679
1	1	-0.47421	-0.56819	-0.38775	0.035215	0.51982	-1.6309
1	1	-0.10242	0.8127	0.41773	-1.1308	-0.30719	-0.80758
2	2	-0.083462	-0.4565	1.1556	0.3299	0.087362	0.31349
2	1	-0.98158	0.01727	-1.3281	-1.4474	0.54555	-0.10096
2	2	-0.80604	-0.19415	1.4986	1.3386	-0.16367	0.68271
2	2	0.80082	-0.57853	1.0716	0.94015	-0.54114	0.032172
1	1	2.0456	0.97954	-0.45536	-0.14332	-0.25819	-1.0833
2	2	-0.30148	0.20623	0.64194	0.76414	-0.59067	0.64326
2	2	-0.55625	-0.26957	1.8447	1.6568	-0.38077	0.58831
2	1	0.11898	0.80706	-0.025844	-0.57984	-0.23395	-1.1554
2	1	-0.095497	-1.0637	-0.92583	-0.57928	0.23695	-0.42992
1	1	0.066154	0.73037	-0.73622	-0.57047	0.39169	0.40928
2	2	0.81522	0.11381	0.68971	0.29219	0.037792	0.81502
2	2	-0.65356	-0.20182	0.92089	0.92298	-0.5417	0.49215
2	2	-0.90826	-0.10979	1.3847	0.75954	-0.20255	0.32975
2	1	-0.25671	-1.1903	-1.4241	-1.6058	-0.062549	-1.3981
1	1	-1.8038	-1.4801	-0.94121	-1.6244	0.4817	-0.0029469
2	1	0.12651	0.028719	-1.5818	-1.0266	0.19779	-0.36357
2	2	-1.0658	-0.58443	0.68956	0.35467	0.11177	1.5243
2	1	0.14729	-0.15111	-0.027639	-0.2899	0.11533	-0.60305
1	1	-0.76889	0.87161	-0.83556	-1.1777	-0.21878	-0.98527
1	1	0.12252	0.49068	-0.2557	-1.5816	0.25332	-0.78715
2	2	-0.40287	0.26456	0.62208	0.60909	0.36074	0.092703
1	2	-0.78301	1.4641	1.3162	1.9448	-0.10841	0.9618
2	1	-0.25018	-0.32797	-1.113	-1.6123	0.6272	-1.2718
1	2	0.15804	-0.18147	2.4571	0.59504	-0.34056	0.8691
1	2	-0.582	0.25738	1.4075	0.92251	-0.40889	0.66381
2	2	-0.26827	0.58632	0.51883	1.5745	-0.13818	1.0526
2	1	0.13453	0.18218	-0.51676	-0.54166	-0.36636	-1.206
1	2	1.1502	0.36164	1.9983	1.0809	0.11272	0.67683
2	1	0.27812	0.46559	-1.6109	-0.91039	0.3803	-0.71802
1	2	0.15292	0.61921	0.71009	1.3063	-0.35819	0.8661
2	1	0.19902	0.48986	-1.4026	-0.8495	0.47158	0.0622
1	2	0.4838	1.1096	1.4392	1.1438	0.34739	0.084004
2	2	-0.63609	-0.35105	0.63581	1.1939	-0.062938	0.91353
2	1	0.64203	-0.5095	-1.7792	-0.88803	0.43482	-0.66314
2	2	-0.18434	-0.48157	0.69942	0.56942	-0.019967	0.50506
2	2	0.10168	-1.0928	1.2144	0.28313	0.22159	0.54058
2	2	-0.18578	-0.45336	1.5468	0.99679	0.11821	1.0476
2	1	-0.60607	-1.1275	-0.90963	-0.69014	-0.33163	-1.2734
2	2	-0.35353	-0.42708	0.78989	0.14094	-0.056632	0.80598
2	2	-0.020221	-1.1235	1.9782	-0.041281	0.19857	1.2488
2	2	1.2346	-0.37121	1.3325	1.1237	-0.027458	1.0044
1	1	-0.54489	1.6812	-0.59836	-0.012441	0.41243	-0.58835
1	2	-0.029577	2.1707	1.3285	1.2109	0.29684	0.90646
1	1	0.70774	1.0606	-1.3996	-0.020914	-0.60955	-1.2187
1	2	0.07926	0.52862	1.3994	0.54549	0.55303	0.16155
2	2	0.041856	-0.92023	0.87269	-0.66601	-0.15945	0.1004
2	1	0.17665	0.31945	-1.7756	-0.60442	0.020525	-1.0625
2	2	-0.090238	-0.65111	0.56993	-0.4117	-0.19486	-0.18849
2	1	0.059166	-0.47194	-0.69068	-0.41022	0.25867	-0.057175
2	1	0.10473	0.66887	0.082035	-0.55975	-0.28439	-1.468
2	2	-0.20937	-0.36621	0.09609	0.28164	0.24673	-0.11107
2	1	-1.2678	0.22369	-0.42201	-0.70103	0.075915	-1.3347
2	1	-0.35467	0.11166	-0.42144	-0.095223	-0.29936	-0.68322
1	1	0.84875	1.24	-0.81217	0.084034	-0.32224	-1.6241
1	2	-0.45939	1.3208	0.97993	1.2991	-0.015791	1.487
2	1	-0.42254	-0.57928	-0.58529	-2.2375	0.51999	-0.79909
1	2	0.32092	-0.13796	0.67098	0.24639	-0.36066	-0.032948
2	1	-1.2408	-0.94836	0.026276	-0.37981	-0.02237	-0.38777
1	1	0.20959	2.1466	-1.7027	-1.3169	-0.16515	-1.046
1	1	-0.10482	1.3773	-1.2998	-0.014223	0.34065	-0.35362
2	1	-0.6188	-1.2477	-0.62084	0.27682	0.1674	-0.8918
2	2	-0.97246	-0.73017	1.3843	1.5549	0.1067	0.85754
2	2	0.74567	-0.032694	1.1153	0.97318	-0.0033905	0.85059
1	1	0.29324	-0.090608	-0.4945	-1.0484	-0.14987	-1.0141
1	2	-0.86818	0.44948	1.8531	0.51896	-0.021141	1.8486
2	1	0.362	-0.29749	-0.66525	0.21709	-0.15594	-1.4087
2	1	-0.17675	0.36465	-0.45423	-1.262	0.22968	-1.246
2	1	-0.34633	-0.16067	-1.2216	-1.3019	-0.040891	-1.2935
2	1	0.44608	-0.57732	0.25606	-1.1664	0.54705	-0.19859
2	1	0.45398	-0.55214	-0.33433	-0.085418	-0.10094	-0.48509
2	1	0.12407	0.022419	-1.0312	-0.47727	0.20924	-1.2961
2	2	-0.76644	-1.1794	1.2345	0.84756	0.1532	0.77648
2	1	-0.10329	-0.53768	-0.67677	-0.58708	-0.014634	-0.036347
2	2	0.2378	0.15372	0.49652	0.29193	0.19047	1.152
2	1	0.024605	-0.38937	-0.89907	-0.42106	0.16921	-0.80893
2	1	0.28812	0.26265	-0.94234	-0.88527	-0.49803	0.48254
2	2	0.85086	0.11783	1.5014	1.2382	0.24441	1.3649
1	1	0.86172	0.14894	-0.4846	-1.3488	-0.41844	-1.1372
2	1	0.67971	-0.27488	-0.50687	-0.79153	-0.093399	-1.391
2	2	-0.91977	-0.66099	0.5801	0.46587	-0.2263	1.43
2	1	0.88213	-0.48674	-0.42406	-1.2762	0.28981	-1.0813
1	2	-0.36583	0.51518	1.4491	1.4995	-0.073755	1.1218
2	2	-0.54006	-0.59443	0.81263	0.65809	-0.15621	1.2508
1	1	1.2125	-0.012648	-0.92657	-0.81972	-0.1536	-1.0176
2	1	0.42493	0.34558	-1.7672	-1.3503	-0.045928	0.37449
2	2	0.17097	-0.86593	-0.13424	1.0257	0.058014	0.91044
1	2	-1.393	0.5338	1.8514	2.291	0.15305	0.30028
2	2	-0.58552	-1.5337	1.5133	0.9976	0.64638	1.4428
2	1	0.046272	-0.56387	-0.86063	-1.0462	0.014457	-1.3038
2	1	0.34933	-0.16796	-0.27854	-0.27327	-0.0040928	-0.17912
2	2	-1.0672	0.3979	1.208	0.50111	-0.013978	0.015097
2	1	0.31052	-0.46723	-1.1237	0.59267	0.30978	-1.0169
2	1	-0.55337	-0.42776	-0.12612	-0.41838	-0.56558	-0.58189
1	1	0.3925	0.15644	-0.72963	-0.66601	-0.10837	-0.27787
2	1	-0.48513	-1.4119	-0.16889	-0.19646	-0.068098	-0.084247
1	1	0.16692	1.5447	-1.3064	-1.3338	-0.25668	-0.48832
2	1	-0.36092	0.31518	-0.44815	-1.4019	-0.47505	-0.37187
2	2	-1.8192	-0.57745	1.1304	0.262	-0.3595	0.58577
2	2	-0.065383	0.07156	1.4931	2.3215	0.85149	1.4585
1	2	-1.119	0.70896	1.0498	0.74334	0.75838	1.6107
1	1	-0.17682	-0.21029	-0.74465	-0.83806	0.10827	-1.2829
2	1	0.69834	-0.082402	0.64008	-0.83119	-0.26766	0.36961
1	1	-0.28266	1.1929	-0.15174	0.098554	-0.33989	-0.6376
1	1	1.5369	1.8434	0.0030761	-0.59703	0.14497	-1.5165
2	1	0.35023	-0.28475	-0.93594	-1.0937	-0.46614	-2.188
1	2	0.62308	1.0873	-0.0037182	0.86847	-0.48699	-0.10105
2	2	-1.0408	-0.99866	2.0799	1.1634	0.092516	0.30401
2	2	-0.87125	-0.88987	1.0278	1.0157	-0.23725	1.2377
2	1	-0.020591	-0.03398	-0.024834	-1.3588	-0.045961	-0.89693
2	2	0.9213	-0.57037	1.044	1.2994	0.046517	0.66563
2	1	-0.87288	-0.96382	-0.704	-1.2184	0.046903	-0.30008
2	1	0.77586	-0.34168	-0.09867	-0.37744	-0.24309	-0.13441
1	2	0.19521	0.67595	1.4533	1.5115	0.19553	0.79596
1	2	-1.3273	1.0891	1.2544	0.98928	0.045725	0.54963
1	1	0.59176	0.65915	-0.84578	-0.080229	-0.26961	0.24045
2	1	-0.66958	-1.042	-1.2138	-0.7612	-0.22775	-0.40062
2	1	1.1154	-0.57069	-0.6592	-2.1961	-0.013175	0.46007
2	1	-0.5254	0.0031225	-0.77758	0.8169	0.13224	-0.65572
1	2	0.24551	1.5078	0.10719	1.1454	0.70578	0.59051
2	1	0.29875	-0.11455	-1.0497	-0.77881	0.080708	-0.48337
2	2	-0.1047	0.011628	1.2504	0.41776	-0.20102	1.2252
2	1	0.44808	-0.8165	-0.080134	-0.49618	0.051011	-0.71722
1	2	2.0365	1.5592	1.3257	1.2472	-0.47899	0.10943
2	2	-0.16507	-0.66011	0.98739	0.58519	0.245	-0.43277
2	1	-0.028366	-0.16961	-1.3266	0.14248	-0.24634	-1.1154
1	2	0.92842	1.8842	1.3169	1.0358	-0.20988	0.88021
1	1	0.33158	0.32463	-0.50924	0.40233	0.54391	-0.24309
2	1	1.2555	0.1928	-0.487	0.048779	-0.23483	-1.477
1	2	0.75021	0.85943	-0.2323	0.10748	-0.68906	0.84276
1	1	0.6297	1.7397	-1.6136	-0.43268	-0.21442	-0.77462
1	2	0.53168	1.0807	1.0853	0.62304	0.44036	0.48087
2	1	-0.31256	-0.69771	-0.88556	-1.333	0.038614	-1.5744
2	1	-0.039695	-0.52447	0.91401	-0.93272	0.53434	-0.080746
1	2	-0.16596	0.56821	0.76008	0.45442	0.10286	0.6539
2	1	-0.4331	-0.89669	-1.3097	-1.2157	0.1065	-0.8512
2	1	-0.34708	-0.51457	-1.012	-0.39437	-0.55374	-1.144
1	1	0.024082	0.7128	-1.3702	-1.4492	-0.10228	-0.59071
2	1	-0.0037109	-0.68845	-0.649	-0.91581	0.066805	-0.98583
1	2	0.68706	0.067424	0.87139	0.7938	-0.099645	1.529
1	1	-0.31183	0.57814	-0.80815	-0.66724	-0.31919	-0.61319
2	1	-0.11153	-0.6246	-0.27979	-0.18363	0.83639	0.014919
1	1	0.20406	1.5838	-0.96334	-1.1228	-0.17808	-1.2123
1	1	-0.1134	0.63358	-0.53321	-0.84276	-0.27657	-0.36992
2	1	0.25517	0.67006	-0.1349	0.18275	0.40982	-0.62487
2	2	-1.2684	0.31042	0.91155	0.66143	0.2483	-0.12434
2	2	-0.97542	-0.85419	0.7663	0.16362	-0.18737	0.67266
2	1	-0.043882	-0.62746	-0.82816	-0.40626	-0.051048	-0.61297
2	2	0.59605	-0.45852	1.2962	0.78156	-0.48154	0.17778
1	1	-0.06266	1.1144	-0.80524	-0.3189	-0.16038	-0.96372
2	1	-1.1821	1.0798	-1.3407	-0.52643	0.12458	-0.7871
1	1	0.59446	0.89186	-0.97856	-0.64658	0.2712	-1.5538
2	1	0.15067	0.41827	-1.0487	-1.0551	0.19143	-1.4537
2	1	-1.073	0.022587	-1.7088	-1.3777	0.1964	-0.84025
1	2	0.20928	1.8026	1.2073	2.78	0.15131	0.3448
2	1	-1.1317	-0.6359	-0.70457	-1.676	-0.22886	-0.58769
2	2	-0.039428	-0.58746	0.56	0.7896	-0.052581	0.99511
2	1	0.55023	-0.20403	0.138	-0.70518	0.66927	-0.28861
1	1	0.57423	1.1886	0.092876	0.025677	-0.41099	-1.2858
1	1	-0.14179	1.5827	-0.94328	0.7703	-0.43967	-0.50448
1	1	0.14666	1.0492	-0.0030259	-0.62418	-0.087515	-0.048386
