Trait5	Geno2	Trait6	Trait3	Geno1	Trait2	Trait4	Trait1	
-1.3202	2	0.86019	1.2914	1	0.27461	0.94779	-0.83604
-0.46478	2	1.29	0.43419	2	0.6874	1.6104	-0.36625
-1.1858	1	-1.2069	-0.56475	2	0.18024	-0.54017	0.23692
0.32802	2	0.87458	1.8613	1	0.40544	1.1088	1.7578
1.1735	1	-0.66747	-1.6202	2	0.53589	-0.9149	0.45194
-1.16	2	1.0838	0.61868	1	0.72867	1.3378	0.26446
1.462	1	0.19509	-1.4192	2	0.56635	-0.85302	0.33349
1.0695	2	0.21919	1.322	1	1.3441	1.1727	0.75993
-0.22703	2	1.1363	0.54703	2	-0.48891	1.2236	-0.91703
1.3458	1	-0.6068	-1.7825	2	-0.68775	-0.89217	0.99687
-0.091249	2	0.68469	0.60839	2	-0.6527	0.58896	-0.24057
0.67203	2	0.72395	1.1051	2	-1.4197	0.29802	0.18773
0.34537	2	1.2845	1.4258	2	-0.6173	1.0233	-0.24272
-1.0761	1	-1.2815	-0.94371	2	-1.4633	-0.69107	-0.87208
-0.20711	2	1.0174	0.69566	2	-0.58432	0.15352	-0.49392
0.59929	2	1.5069	1.8419	2	-1.4583	-0.031663	0.0051904
-0.11492	2	1.2367	1.2191	2	-0.51421	1.1523	1.8842
1.2751	1	-0.52411	-0.64346	1	2.0614	-0.0023541	-0.78047
0.90981	2	1.1284	1.2152	1	2.6756	1.2409	-0.0088196
-1.9542	1	-1.221	-1.4163	1	1.2826	-0.010965	1.0953
1.7193	2	0.30492	1.2836	1	0.61499	0.56464	0.15416
-0.53199	2	0.23732	0.77552	2	-1.2032	-0.66655	0.098147
0.036699	1	-1.0483	-1.779	2	0.3525	-0.60395	0.29999
-0.64389	2	-0.082056	0.48348	2	-0.86546	-0.4081	-0.099655
0.7892	1	0.063117	-0.73251	2	-0.64062	-0.4066	0.12407
-0.92679	1	-1.4966	0.012855	2	0.79099	-0.55856	0.1923
0.75147	2	0.0035339	0.026413	2	-0.50794	0.29651	-0.27805
0.21172	1	-1.3492	-0.47335	2	0.23233	-0.70213	-1.863
-0.97409	1	-0.629	-0.4728	2	0.091744	-0.086481	-0.49562
-1.0464	1	-1.6692	-0.8497	1	1.5077	0.095689	1.3064
-0.078054	2	1.7703	0.87897	1	1.6091	1.3305	-0.65244
1.6149	1	-0.75709	-0.63085	2	-0.77532	-2.2636	-0.59726
-1.1678	2	0.0899	0.58095	1	-0.22151	0.26068	0.51603
-0.098842	1	-0.30237	-0.04093	2	-1.2385	-0.37569	-1.8225
-0.55001	1	-1.0301	-1.7087	1	2.6454	-1.328	0.34932
1.0482	1	-0.26461	-1.3201	1	1.68	-0.0041651	-0.12149
0.5008	1	-0.85959	-0.66514	2	-1.6141	0.29161	-0.89114
0.309	2	1.0744	1.269	2	-0.96467	1.5905	-1.4207
-0.03887	2	1.0667	1.0095	2	-0.089407	0.99929	1.1521
-0.50172	1	-0.99479	-0.54327	1	-0.16208	-1.0551	0.47458
-0.094959	2	2.17	1.7212	1	0.51568	0.53768	-1.2646
-0.5209	1	-1.431	-0.70798	2	-0.4217	0.23091	0.57754
0.6976	1	-1.2512	-0.50443	2	0.40922	-1.2722	-0.2292
-0.15737	1	-1.3037	-1.2446	2	-0.25	-1.3128	-0.48314
1.7004	1	-0.093222	0.18072	2	-0.77286	-1.1751	0.70345
-0.34711	1	-0.40996	-0.38877	2	-0.74126	-0.076517	0.71528
0.63301	1	-1.3066	-1.061	2	-0.020245	-0.47474	0.22126
0.45593	2	0.98475	1.1245	2	-1.5284	0.87162	-1.1122
-0.074398	1	0.086143	-0.71909	2	-0.72312	-0.58633	-0.1192
0.5737	2	1.3999	0.41267	2	0.14453	0.30696	0.39156
0.50652	1	-0.76797	-0.93352	2	-0.537	-0.41761	0.072314
-1.6019	1	0.65979	-0.97526	2	0.28122	-0.88937	0.46691
0.74414	2	1.6353	1.382	2	0.099487	1.2686	1.3096
-1.3504	1	-1.1309	-0.53372	1	0.13853	-1.3604	1.3258
-0.32328	1	-1.4115	-0.55521	2	-0.39333	-0.7941	1.0533
-0.74323	2	1.7072	0.49329	2	-0.87786	0.48373	-1.3418
0.8876	1	-1.0691	-0.47533	2	-0.65919	-1.2867	1.3564
-0.26121	2	1.3665	1.3315	1	0.59812	1.5342	-0.51234
-0.52176	2	1.5091	0.71759	2	-0.79433	0.67907	-0.77323
-0.51351	1	-0.99866	-0.96005	1	-0.064251	-0.82275	1.8511
-0.17328	1	0.54034	-1.7709	2	0.38529	-1.362	0.67177
0.15516	2	1.1328	-0.19576	2	-1.135	1.0527	0.29149
0.45546	2	0.45829	1.7196	1	0.62149	2.3385	-2.0505
2.0143	2	1.7214	1.3935	2	-1.973	1.0241	-0.84131
0.017525	1	-1.3151	-0.89644	2	-0.75598	-1.0529	0.10476
-0.041089	1	-0.071698	-0.33496	2	-0.25915	-0.26742	0.55857
-0.072325	2	0.14302	1.099	2	0.45095	0.51954	-1.5626
0.9507	1	-0.99789	-1.1502	2	-0.63471	0.61259	0.50045
-1.8153	1	-0.51697	-0.18793	2	-0.58518	-0.41489	-0.79317
-0.37059	1	-0.18087	-0.77008	1	0.14794	-0.66655	0.62321
-0.24334	1	0.033188	-0.22919	2	-1.8202	-0.18936	-0.69098
-0.83923	1	-0.41353	-1.3264	1	1.8901	-1.3452	0.28542
-1.5292	1	-0.28479	-0.49856	2	0.34714	-1.4144	-0.50498
-1.1641	2	0.77391	1.0241	2	-0.77302	0.27655	-2.6887
2.6624	2	1.7387	1.374	2	0.041422	2.3695	-0.062437
2.3682	2	1.907	0.94637	1	0.8413	0.76571	-1.6402
0.31396	1	-1.292	-0.78457	1	-0.31227	-0.84139	-0.22931
-0.87392	1	0.53494	0.55115	2	-0.15179	-0.83441	1.0812
-1.1022	1	-0.57856	-0.21265	1	1.4486	0.11044	-0.38779
0.42993	1	-1.5502	-0.063309	1	2.2649	-0.59644	2.3369
-1.5011	1	-2.2926	-0.96909	2	-0.40571	-1.1012	0.55992
-1.567	2	0.014611	-0.069863	1	1.3161	0.89287	0.96849
0.26418	2	0.46242	1.94	2	-1.3016	1.1926	-1.5231
-0.77783	2	1.4946	0.92514	2	-1.1651	1.0425	-1.2692
-0.17339	1	-0.86526	-0.090231	2	-0.09102	-1.3706	0.0046364
0.11883	2	0.8622	0.94077	2	-0.76414	1.3308	1.4151
0.12005	1	-0.20542	-0.74536	2	-1.2579	-1.2279	-1.2716
-0.79628	1	-0.022269	-0.16145	2	-0.47715	-0.37329	1.1973
0.58969	2	1.0063	1.3356	1	0.79987	1.5464	0.32778
0.11633	2	0.73396	1.1437	1	1.3183	1.0156	-1.9521
-0.88008	1	0.39215	-0.88212	1	0.77879	-0.071244	0.92159
-0.74781	1	-0.31657	-1.2371	2	-1.356	-0.76328	-0.96718
-0.069788	1	0.63495	-0.70214	2	-0.76454	-2.2215	1.7057
0.3897	1	-0.59859	-0.81633	2	-0.04446	0.84047	-0.75128
2.202	2	0.77915	0.03712	1	1.8438	1.1743	0.40311
0.22687	1	-0.40806	-1.0788	2	-0.19213	-0.78118	0.48283
-0.66335	2	1.4808	1.1399	2	-0.033787	0.43484	-0.12131
0.13303	1	-0.66658	-0.14357	2	-1.073	-0.49395	0.70644
-1.5417	2	0.2473	1.2125	1	1.9083	1.2778	3.085
0.74601	2	-0.35212	0.88616	2	-0.87675	0.60499	-0.21171
-0.80655	1	-1.1068	-1.3459	2	-0.26122	0.15508	-0.0070062
-0.69135	2	1.0994	1.204	1	2.3161	1.0629	1.4257
1.6905	1	-0.14242	-0.55749	1	0.359	0.41916	0.53199
-0.77018	1	-1.5065	-0.53604	2	0.19357	0.059861	1.9155
-2.2055	2	1.058	-0.29035	1	1.0301	0.11952	1.1589
-0.70569	1	-0.73004	-1.6228	1	2.1348	-0.42942	0.9784
1.3633	2	0.65794	0.98061	1	1.3078	0.64345	0.83163
0.093858	1	-1.6142	-0.92049	2	-0.92394	-1.3444	-0.43257
1.6603	1	0.037058	0.81538	2	-0.70654	-0.93759	-0.023971
0.29687	2	0.84923	0.6669	1	0.66467	0.47209	-0.21304
0.30837	1	-0.8147	-1.3296	2	-1.1736	-1.2252	-0.61307
-1.7779	1	-1.1384	-1.0425	2	-0.69411	-0.39049	-0.48426
-0.35135	1	-0.52672	-1.388	1	0.84612	-1.4625	0.071531
0.18294	1	-0.96354	-0.6923	2	-0.91232	-0.9204	0.029913
-0.34302	2	1.8167	0.77427	1	0.036232	0.81699	1.0643
-1.0367	1	-0.55158	-0.84582	1	0.67713	-0.66779	-0.43147
2.6147	1	0.14282	-0.33616	2	-0.83219	-0.17633	-0.13154
-0.59086	1	-1.2139	-0.99552	1	1.9391	-1.1308	0.34104
-0.90208	1	-0.28263	-0.58061	1	0.7467	-0.84617	-0.13434
1.2668	1	-0.56449	-0.1964	2	0.79248	0.19601	0.41757
0.75643	2	-0.011136	0.81301	2	0.34117	0.68247	-1.8639
-0.62022	2	0.86997	0.6729	2	-1.1203	0.17657	-1.4252
-0.18946	1	-0.55133	-0.86512	2	-0.83578	-0.40257	-0.03024
-1.5498	2	0.32287	1.184	2	-0.62378	0.80455	0.92802
-0.53493	1	-0.9391	-0.84301	1	1.3501	-0.31379	-0.058359
0.3655	1	-0.74384	-1.3595	2	1.3067	-0.5247	-1.7346
0.82879	1	-1.5915	-1.0102	1	1.0708	-0.6468	0.92563
0.57673	1	-1.4808	-1.0779	2	0.47651	-1.062	0.26109
0.59244	1	-0.8026	-1.7146	2	-0.020034	-1.3898	-1.5713
0.44996	2	0.50751	1.0983	1	2.2137	2.8355	0.34885
-0.75132	1	-0.52338	-0.74591	2	-0.84637	-1.6929	-1.6592
-0.1943	2	1.2265	0.4739	2	-0.78558	0.81272	-0.023571
2.0866	1	-0.19274	0.066839	2	-0.30442	-0.70635	0.8594
-1.3268	1	-1.2952	0.023312	1	1.4432	0.036383	0.89534
-1.4174	1	-0.43139	-0.97617	1	1.9378	0.79311	-0.17685
-0.30469	1	0.072833	-0.069195	1	1.2683	-0.62404	0.25508
